Date,CP,B9,Longwave_Rad_AVG,RAD_SOL,TEMP_MIN,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longitude,B6,Latitude,RAIN,TDN_based_ADF,B5,B8A,GEMI
2022-07-06,4.632362746,3280.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.839505,2952.0,-20.44671667,0.0,47.99895872,2427.0,3272.0,-1341990.624065628
2022-07-06,4.811976056,3280.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.839505,2952.0,-20.44671667,0.0,52.44721853,2427.0,3272.0,-1341990.624065628
2022-07-06,4.644871037,3260.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83885633,2956.0,-20.44699567,0.0,49.69773698,2435.0,3303.0,-1268877.254579512
2022-07-06,4.647188837,3260.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83885633,2956.0,-20.44699567,0.0,50.62115786,2435.0,3303.0,-1268877.254579512
2022-07-06,5.006476461,3194.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83924633,2861.0,-20.446424,0.0,47.12037117,2381.0,3156.0,-1152285.9144877994
2022-07-06,4.908830785,3194.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83924633,2861.0,-20.446424,0.0,54.54078847,2381.0,3156.0,-1152285.9144877994
2022-07-06,5.873590871,3184.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83876267,2897.0,-20.44633333,0.0,51.82397028,2391.0,3147.0,-1208778.7864584832
2022-07-06,5.785925335,3184.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83876267,2897.0,-20.44633333,0.0,44.13031441,2391.0,3147.0,-1208778.7864584832
2022-07-06,4.811648506,3194.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.839261,2861.0,-20.446437,0.0,50.04360893,2381.0,3156.0,-1152285.9144877994
2022-07-06,4.724163988,3194.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.839261,2861.0,-20.446437,0.0,47.45754752,2381.0,3156.0,-1152285.9144877994
2022-07-06,5.569296814,3184.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83876433,2897.0,-20.44631867,0.0,49.96751289,2391.0,3147.0,-1208778.7864584832
2022-07-06,5.495982242,3184.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83876433,2897.0,-20.44631867,0.0,51.15011768,2391.0,3147.0,-1208778.7864584832
2022-07-06,2.184244027,3322.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83930267,3068.0,-20.446936,0.0,39.71977991,2431.0,3570.0,-1815585.956319232
2022-07-06,2.097922179,3322.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83930267,3068.0,-20.446936,0.0,39.94216274,2431.0,3570.0,-1815585.956319232
2022-07-06,2.51860294,3348.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83926867,3054.0,-20.447077,0.0,44.99006643,2449.0,3564.0,-1683349.1834539694
2022-07-06,2.517344268,3348.0,344.2124872222221,16.17,19.2,160.6174160877295,7.444172718405275,358.8375035782738,-54.83926867,3054.0,-20.447077,0.0,45.6389018,2449.0,3564.0,-1683349.1834539694
2022-06-02,4.971290278,3786.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83885933,3589.0,-20.44697833,0.0,52.16173204,2531.0,4057.0,-4126621.009712011
2022-06-02,5.153428538,3786.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83885933,3589.0,-20.44697833,0.0,51.91894479,2531.0,4057.0,-4126621.009712011
2022-06-02,4.722079746,4132.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.838545,3751.0,-20.446366,0.0,52.29991626,2473.0,4169.0,-4249395.487146078
2022-06-02,4.994371414,4132.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.838545,3751.0,-20.446366,0.0,51.92080274,2473.0,4169.0,-4249395.487146078
2022-06-02,5.325789098,3738.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83948333,3512.0,-20.44669467,0.0,56.89019404,2567.0,3842.0,-3461147.9231516304
2022-06-02,5.309867456,3738.0,388.3275890277778,14.5,20.1,99.04042020517376,10.858879727653326,216.2647172102618,-54.83948333,3512.0,-20.44669467,0.0,52.93481013,2567.0,3842.0,-3461147.9231516304
