Date,TDN_based_ADF,B6,CP,B1,B12,B8,NDWI,GEMI,B8A,B9,Delta_days,DVI,Longitude,B11,GCI,B5
2022-06-02,56.97572872,3352.0,5.845264177,1319.0,2471.0,3436.0,0.0675715550309826,-2463095.7529425304,3618.0,3645.0,5,1570.0,-54.839228,3160.0,0.9804034582132566,2484.0
2022-06-02,47.06351554,3599.0,2.705945433,1374.0,2430.0,4116.0,0.1158444413906829,-5936017.777836716,4060.0,3729.0,5,2437.0,-54.83908333,3217.0,1.3162633652222846,2533.0
2022-06-02,47.145599,3599.0,2.708648675,1374.0,2430.0,4116.0,0.1158444413906829,-5936017.777836716,4060.0,3729.0,5,2437.0,-54.83908333,3217.0,1.3162633652222846,2533.0
2022-06-02,44.46956036,3618.0,2.183589424,1357.0,2304.0,3939.0,0.1370640713706407,-4723685.904790141,4206.0,3719.0,5,2174.0,-54.839329,3192.0,1.2229119638826185,2474.0
2022-06-02,43.74818053,3618.0,2.189040221,1357.0,2304.0,3939.0,0.1370640713706407,-4723685.904790141,4206.0,3719.0,5,2174.0,-54.839329,3192.0,1.2229119638826185,2474.0
2022-05-18,55.91948154,3862.0,4.871028183,1303.0,2177.0,4211.0,0.1725571725571725,-6627481.189169895,4230.0,4135.0,5,2575.0,-54.838422,2985.0,1.3394444444444449,2374.0
2022-05-18,53.31943777,3862.0,4.86132494,1303.0,2177.0,4211.0,0.1725571725571725,-6627481.189169895,4230.0,4135.0,5,2575.0,-54.838422,2985.0,1.3394444444444449,2374.0
2022-05-18,50.14325176,3314.0,5.718676315,1295.0,2424.0,3620.0,0.0746355685131195,-3517170.145163348,3686.0,3786.0,5,1876.0,-54.83885567,3174.0,1.0556501987507096,2395.0
2022-05-18,54.00406447,3314.0,5.718676315,1295.0,2424.0,3620.0,0.0746355685131195,-3517170.145163348,3686.0,3786.0,5,1876.0,-54.83885567,3174.0,1.0556501987507096,2395.0
2022-05-18,54.0007637,3941.0,5.054008114,1284.0,2068.0,4174.0,0.2045577862181226,-6673890.996903616,4440.0,4322.0,5,2584.0,-54.83854267,2932.0,1.3595251554550591,2372.0
2022-05-18,56.2033803,3941.0,5.13346519,1284.0,2068.0,4174.0,0.2045577862181226,-6673890.996903616,4440.0,4322.0,5,2584.0,-54.83854267,2932.0,1.3595251554550591,2372.0
2022-05-18,51.09290674,3479.0,5.561901205,1315.0,2231.0,3742.0,0.1326352530541012,-4245266.560255958,3894.0,4001.0,5,2061.0,-54.83898767,2982.0,1.139508290451687,2378.0
2022-05-18,54.50627285,3479.0,5.542502447,1315.0,2231.0,3742.0,0.1326352530541012,-4245266.560255958,3894.0,4001.0,5,2061.0,-54.83898767,2982.0,1.139508290451687,2378.0
2022-05-18,51.26057131,3570.0,2.685987956,1351.0,2146.0,3832.0,0.152575587905935,-4667333.8927181,4117.0,3862.0,5,2161.0,-54.83918867,3027.0,1.128888888888889,2333.0
2022-05-18,50.96179154,3570.0,2.688668583,1351.0,2146.0,3832.0,0.152575587905935,-4667333.8927181,4117.0,3862.0,5,2161.0,-54.83918867,3027.0,1.128888888888889,2333.0
2022-05-18,46.73774633,3488.0,2.593293788,1336.0,2176.0,3724.0,0.1368723098995695,-4114430.347282897,3962.0,3883.0,5,2029.0,-54.83923167,3008.0,1.0608743774211402,2368.0
2022-05-18,46.90717585,3488.0,2.689111306,1336.0,2176.0,3724.0,0.1368723098995695,-4114430.347282897,3962.0,3883.0,5,2029.0,-54.83923167,3008.0,1.0608743774211402,2368.0
2022-06-22,49.44313569,3028.0,4.708278463,2633.0,2895.0,3082.0,0.1630050699032109,-1391078.5209287675,3785.0,6610.0,5,1180.0,-54.838631,2724.0,0.5433149724586881,2377.0
2022-06-22,47.8413243,3028.0,4.795468805,2633.0,2895.0,3082.0,0.1630050699032109,-1391078.5209287675,3785.0,6610.0,5,1180.0,-54.838631,2724.0,0.5433149724586881,2377.0
2022-06-22,51.22156003,3416.0,5.360591292,2222.0,2360.0,3115.0,0.0072207712398217,-113220.60053102132,3278.0,5082.0,5,337.0,-54.838848,3231.0,0.2390612569610182,3091.0
2022-06-22,51.47087982,3416.0,5.349896845,2222.0,2360.0,3115.0,0.0072207712398217,-113220.60053102132,3278.0,5082.0,5,337.0,-54.838848,3231.0,0.2390612569610182,3091.0
2022-06-22,56.64865127,2837.0,4.715676388,2131.0,1974.0,2622.0,0.0530289412187668,-278224.66831580416,2929.0,4965.0,5,528.0,-54.83916633,2634.0,0.399893219434063,2427.0
2022-06-22,54.67441186,2837.0,4.623732241,2131.0,1974.0,2622.0,0.0530289412187668,-278224.66831580416,2929.0,4965.0,5,528.0,-54.83916633,2634.0,0.399893219434063,2427.0
2022-06-22,47.81167332,4193.0,5.088014662,2906.0,3570.0,3034.0,0.053639846743295,-550.2072783116698,4400.0,7094.0,5,-23.0,-54.838801,3952.0,0.2705192629815744,3613.0
2022-06-22,47.90197734,4193.0,4.905219072,2906.0,3570.0,3034.0,0.053639846743295,-550.2072783116698,4400.0,7094.0,5,-23.0,-54.838801,3952.0,0.2705192629815744,3613.0
2022-06-22,53.90830402,3159.0,2.354868882,2271.0,2685.0,2694.0,0.1241486068111455,-754206.6590715944,3631.0,5051.0,5,869.0,-54.839217,2829.0,0.4859349145063432,2383.0
2022-06-22,50.53189181,3159.0,2.268784209,2271.0,2685.0,2694.0,0.1241486068111455,-754206.6590715944,3631.0,5051.0,5,869.0,-54.839217,2829.0,0.4859349145063432,2383.0
2022-06-22,44.35558404,3565.0,2.532049149,2552.0,3213.0,2682.0,0.1225317825263727,-446842.556768844,4150.0,5927.0,5,669.0,-54.839051,3244.0,0.4631751227495908,2800.0
2022-06-22,48.45501216,3565.0,2.624597293,2552.0,3213.0,2682.0,0.1225317825263727,-446842.556768844,4150.0,5927.0,5,669.0,-54.839051,3244.0,0.4631751227495908,2800.0
2022-04-20,58.7107711,3819.0,5.786000154,1305.0,2073.0,4009.0,0.1862537123462028,-5970154.396588125,4194.0,4235.0,2,2444.0,-54.83907833,2877.0,1.3240579710144926,2291.0
2022-04-20,61.04519871,3819.0,5.783110044,1305.0,2073.0,4009.0,0.1862537123462028,-5970154.396588125,4194.0,4235.0,2,2444.0,-54.83907833,2877.0,1.3240579710144926,2291.0
2022-04-20,60.18924475,4031.0,7.124578025,1301.0,2031.0,4207.0,0.2054231717337715,-7125607.648920345,4401.0,4493.0,2,2670.0,-54.83861033,2901.0,1.3971509971509972,2335.0
2022-04-20,59.31672753,4031.0,7.223354582,1301.0,2031.0,4207.0,0.2054231717337715,-7125607.648920345,4401.0,4493.0,2,2670.0,-54.83861033,2901.0,1.3971509971509972,2335.0
2022-04-20,52.63143048,3944.0,6.680432704,1299.0,2072.0,4180.0,0.1930986887508626,-6882150.010846582,4322.0,4324.0,2,2624.0,-54.838897,2923.0,1.3736513344690515,2326.0
2022-04-20,52.44791886,3944.0,6.51203639,1299.0,2072.0,4180.0,0.1930986887508626,-6882150.010846582,4322.0,4324.0,2,2624.0,-54.838897,2923.0,1.3736513344690515,2326.0
2022-04-20,54.6374969,3893.0,7.538986903,1311.0,2046.0,4094.0,0.1899378179762577,-6468816.853734583,4210.0,4386.0,2,2544.0,-54.838811,2866.0,1.3927527761542955,2306.0
2022-04-20,55.23320331,3893.0,7.271757344,1311.0,2046.0,4094.0,0.1899378179762577,-6468816.853734583,4210.0,4386.0,2,2544.0,-54.838811,2866.0,1.3927527761542955,2306.0
2022-04-20,44.98223209,3687.0,3.082142645,1356.0,1859.0,3955.0,0.2343727952589248,-6332182.838613641,4374.0,4220.0,2,2517.0,-54.83924367,2713.0,1.4398519432449106,2124.0
2022-04-20,45.53597896,3687.0,3.16388557,1356.0,1859.0,3955.0,0.2343727952589248,-6332182.838613641,4374.0,4220.0,2,2517.0,-54.83924367,2713.0,1.4398519432449106,2124.0
2022-04-20,48.65100318,3668.0,3.658248606,1359.0,1866.0,3892.0,0.2291755356889456,-6107735.014032733,4331.0,4215.0,2,2472.0,-54.83911033,2716.0,1.3936039360393604,2139.0
2022-04-20,51.62994532,3668.0,3.836273814,1359.0,1866.0,3892.0,0.2291755356889456,-6107735.014032733,4331.0,4215.0,2,2472.0,-54.83911033,2716.0,1.3936039360393604,2139.0
2022-04-06,55.8207313,3636.0,9.58697173,1309.0,2142.0,3747.0,0.1503911909591422,-4754130.546514892,3970.0,4034.0,3,2181.0,-54.838854,2932.0,1.1848396501457723,2204.0
2022-04-06,54.38994674,3636.0,9.670904535,1309.0,2142.0,3747.0,0.1503911909591422,-4754130.546514892,3970.0,4034.0,3,2181.0,-54.838854,2932.0,1.1848396501457723,2204.0
2022-04-06,54.53465595,3632.0,6.639711346,1321.0,2122.0,3819.0,0.1509461216235736,-5055280.910210092,3984.0,4017.0,3,2249.0,-54.83932933,2939.0,1.2372583479789103,2210.0
