Date,CP,B9,B6,B5,SampleID,Longitude,B8A,TDN_based_ADF,B7,Latitude,Delta_days,B11,GEMI,EVI,B1,B4
2022-06-02,2.705945433,3729.0,3599.0,2533.0,31,-54.83908333,4060.0,47.06351554,3853.0,-20.44707067,5,3217.0,-5936017.777836716,0.3357563266025924,1374.0,1679.0
2022-06-02,2.708648675,3729.0,3599.0,2533.0,31,-54.83908333,4060.0,47.145599,3853.0,-20.44707067,5,3217.0,-5936017.777836716,0.3357563266025924,1374.0,1679.0
2022-06-02,2.183589424,3719.0,3618.0,2474.0,32,-54.839329,4206.0,44.46956036,3901.0,-20.44699567,5,3192.0,-4723685.904790141,0.2990371389270976,1357.0,1765.0
2022-06-02,2.189040221,3719.0,3618.0,2474.0,32,-54.839329,4206.0,43.74818053,3901.0,-20.44699567,5,3192.0,-4723685.904790141,0.2990371389270976,1357.0,1765.0
2022-05-18,4.871028183,4135.0,3862.0,2374.0,33,-54.838422,4230.0,55.91948154,4171.0,-20.446899,5,2985.0,-6627481.189169895,0.3549295929956884,1303.0,1636.0
2022-05-18,4.86132494,4135.0,3862.0,2374.0,33,-54.838422,4230.0,53.31943777,4171.0,-20.446899,5,2985.0,-6627481.189169895,0.3549295929956884,1303.0,1636.0
2022-05-18,5.718676315,3786.0,3314.0,2395.0,34,-54.83885567,3686.0,50.14325176,3544.0,-20.44601967,5,3174.0,-3517170.145163348,0.2634002785640473,1295.0,1744.0
2022-05-18,5.718676315,3786.0,3314.0,2395.0,34,-54.83885567,3686.0,54.00406447,3544.0,-20.44601967,5,3174.0,-3517170.145163348,0.2634002785640473,1295.0,1744.0
2022-05-18,5.054008114,4322.0,3941.0,2372.0,35,-54.83854267,4440.0,54.0007637,4302.0,-20.44621533,5,2932.0,-6673890.996903616,0.3590883824346859,1284.0,1590.0
2022-05-18,5.13346519,4322.0,3941.0,2372.0,35,-54.83854267,4440.0,56.2033803,4302.0,-20.44621533,5,2932.0,-6673890.996903616,0.3590883824346859,1284.0,1590.0
2022-05-18,5.561901205,4001.0,3479.0,2378.0,36,-54.83898767,3894.0,51.09290674,3745.0,-20.446813,5,2982.0,-4245266.560255958,0.2898505884206026,1315.0,1681.0
2022-05-18,5.542502447,4001.0,3479.0,2378.0,36,-54.83898767,3894.0,54.50627285,3745.0,-20.446813,5,2982.0,-4245266.560255958,0.2898505884206026,1315.0,1681.0
2022-05-18,2.685987956,3862.0,3570.0,2333.0,37,-54.83918867,4117.0,51.26057131,3943.0,-20.446996,5,3027.0,-4667333.8927181,0.3027899834103035,1351.0,1671.0
2022-05-18,2.688668583,3862.0,3570.0,2333.0,37,-54.83918867,4117.0,50.96179154,3943.0,-20.446996,5,3027.0,-4667333.8927181,0.3027899834103035,1351.0,1671.0
2022-05-18,2.593293788,3883.0,3488.0,2368.0,38,-54.83923167,3962.0,46.73774633,3785.0,-20.446863,5,3008.0,-4114430.347282897,0.2851000449640288,1336.0,1695.0
2022-05-18,2.689111306,3883.0,3488.0,2368.0,38,-54.83923167,3962.0,46.90717585,3785.0,-20.446863,5,3008.0,-4114430.347282897,0.2851000449640288,1336.0,1695.0
2022-06-22,4.708278463,6610.0,3028.0,2377.0,39,-54.838631,3785.0,49.44313569,3421.0,-20.44614667,5,2724.0,-1391078.5209287675,0.1671691184804044,2633.0,1902.0
2022-06-22,4.795468805,6610.0,3028.0,2377.0,39,-54.838631,3785.0,47.8413243,3421.0,-20.44614667,5,2724.0,-1391078.5209287675,0.1671691184804044,2633.0,1902.0
2022-06-22,5.360591292,5082.0,3416.0,3091.0,40,-54.838848,3278.0,51.22156003,3383.0,-20.44657867,5,3231.0,-113220.60053102132,0.0425887919442731,2222.0,2778.0
2022-06-22,5.349896845,5082.0,3416.0,3091.0,40,-54.838848,3278.0,51.47087982,3383.0,-20.44657867,5,3231.0,-113220.60053102132,0.0425887919442731,2222.0,2778.0
2022-06-22,4.715676388,4965.0,2837.0,2427.0,41,-54.83916633,2929.0,56.64865127,2959.0,-20.44647667,5,2634.0,-278224.66831580416,0.0747977062036764,2131.0,2094.0
2022-06-22,4.623732241,4965.0,2837.0,2427.0,41,-54.83916633,2929.0,54.67441186,2959.0,-20.44647667,5,2634.0,-278224.66831580416,0.0747977062036764,2131.0,2094.0
2022-06-22,5.088014662,7094.0,4193.0,3613.0,42,-54.838801,4400.0,47.81167332,4329.0,-20.44703067,5,3952.0,-550.2072783116698,-0.0028226677400985,2906.0,3057.0
2022-06-22,4.905219072,7094.0,4193.0,3613.0,42,-54.838801,4400.0,47.90197734,4329.0,-20.44703067,5,3952.0,-550.2072783116698,-0.0028226677400985,2906.0,3057.0
2022-06-22,2.354868882,5051.0,3159.0,2383.0,43,-54.839217,3631.0,53.90830402,3482.0,-20.44683167,5,2829.0,-754206.6590715944,0.1272402483307953,2271.0,1825.0
2022-06-22,2.268784209,5051.0,3159.0,2383.0,43,-54.839217,3631.0,50.53189181,3482.0,-20.44683167,5,2829.0,-754206.6590715944,0.1272402483307953,2271.0,1825.0
2022-06-22,2.532049149,5927.0,3565.0,2800.0,44,-54.839051,4150.0,44.35558404,3935.0,-20.446942,5,3244.0,-446842.556768844,0.0954993947422515,2552.0,2013.0
2022-06-22,2.624597293,5927.0,3565.0,2800.0,44,-54.839051,4150.0,48.45501216,3935.0,-20.446942,5,3244.0,-446842.556768844,0.0954993947422515,2552.0,2013.0
2022-04-20,5.786000154,4235.0,3819.0,2291.0,45,-54.83907833,4194.0,58.7107711,4102.0,-20.446484,2,2877.0,-5970154.396588125,0.34393470306783,1305.0,1565.0
2022-04-20,5.783110044,4235.0,3819.0,2291.0,45,-54.83907833,4194.0,61.04519871,4102.0,-20.446484,2,2877.0,-5970154.396588125,0.34393470306783,1305.0,1565.0
2022-04-20,7.124578025,4493.0,4031.0,2335.0,46,-54.83861033,4401.0,60.18924475,4302.0,-20.44663733,2,2901.0,-7125607.648920345,0.3729925457369886,1301.0,1537.0
2022-04-20,7.223354582,4493.0,4031.0,2335.0,46,-54.83861033,4401.0,59.31672753,4302.0,-20.44663733,2,2901.0,-7125607.648920345,0.3729925457369886,1301.0,1537.0
2022-04-20,6.680432704,4324.0,3944.0,2326.0,47,-54.838897,4322.0,52.63143048,4235.0,-20.44633833,2,2923.0,-6882150.010846582,0.3661858616531951,1299.0,1556.0
