Date,CP,B9,B6,B5,SampleID,Longitude,Latitude,TDN_based_ADF,B7,GEMI,B8A,B3,B1,EVI,B11,B4
2022-05-05,7.385197402,4110.0,3808.0,2355.0,20,-54.83930467,-20.44663067,53.17267835,4079.0,-6377585.530305956,4167.0,1744.0,1296.0,0.3533697428206907,2973.0,1572.0
2022-05-05,5.899621568,4499.0,3942.0,2374.0,21,-54.83855567,-20.44637233,58.73142471,4224.0,-5761883.577289193,4374.0,1744.0,1277.0,0.3364441455075388,2937.0,1600.0
2022-05-05,5.887857617,4499.0,3942.0,2374.0,21,-54.83855567,-20.44637233,60.29755294,4224.0,-5761883.577289193,4374.0,1744.0,1277.0,0.3364441455075388,2937.0,1600.0
2022-05-05,6.353050887,4218.0,4085.0,2330.0,22,-54.838707,-20.44706367,58.56210858,4433.0,-7548102.085158183,4490.0,1765.0,1316.0,0.3833833722111231,2964.0,1521.0
2022-05-05,6.353050887,4218.0,4085.0,2330.0,22,-54.838707,-20.44706367,55.20215491,4433.0,-7548102.085158183,4490.0,1765.0,1316.0,0.3833833722111231,2964.0,1521.0
2022-05-05,3.040877175,4020.0,3524.0,2120.0,23,-54.83922433,-20.44710133,52.27533421,3934.0,-5255083.656423923,4030.0,1682.0,1339.0,0.320380264687472,3007.0,1647.0
2022-05-05,3.04694679,4020.0,3524.0,2120.0,23,-54.83922433,-20.44710133,50.03009882,3934.0,-5255083.656423923,4030.0,1682.0,1339.0,0.320380264687472,3007.0,1647.0
2022-05-05,2.534837219,4087.0,3746.0,2266.0,24,-54.83930767,-20.446902,47.95161896,4076.0,-5970138.562321046,4283.0,1666.0,1316.0,0.3492825701709255,2866.0,1485.0
2022-05-05,2.705597211,4087.0,3746.0,2266.0,24,-54.83930767,-20.446902,48.04153375,4076.0,-5970138.562321046,4283.0,1666.0,1316.0,0.3492825701709255,2866.0,1485.0
2022-06-02,4.971290278,3786.0,3589.0,2531.0,25,-54.83885933,-20.44697833,52.16173204,3850.0,-4126621.009712011,4057.0,1776.0,1357.0,0.280911302809113,3178.0,1780.0
2022-06-02,5.153428538,3786.0,3589.0,2531.0,25,-54.83885933,-20.44697833,51.91894479,3850.0,-4126621.009712011,4057.0,1776.0,1357.0,0.280911302809113,3178.0,1780.0
2022-06-02,4.722079746,4132.0,3751.0,2473.0,26,-54.838545,-20.446366,52.29991626,4025.0,-4249395.487146078,4169.0,1758.0,1285.0,0.2871738306927825,2995.0,1732.0
2022-06-02,4.994371414,4132.0,3751.0,2473.0,26,-54.838545,-20.446366,51.92080274,4025.0,-4249395.487146078,4169.0,1758.0,1285.0,0.2871738306927825,2995.0,1732.0
2022-06-02,5.325789098,3738.0,3512.0,2567.0,27,-54.83948333,-20.44669467,56.89019404,3733.0,-3461147.9231516304,3842.0,1814.0,1320.0,0.2558427275226835,3307.0,1860.0
2022-06-02,5.309867456,3738.0,3512.0,2567.0,27,-54.83948333,-20.44669467,52.93481013,3733.0,-3461147.9231516304,3842.0,1814.0,1320.0,0.2558427275226835,3307.0,1860.0
2022-06-02,5.425175171,3734.0,3629.0,2493.0,28,-54.83860133,-20.44709433,57.95038309,3803.0,-4407509.173725588,3969.0,1798.0,1351.0,0.2890077949530982,3161.0,1784.0
2022-06-02,5.594600174,3734.0,3629.0,2493.0,28,-54.83860133,-20.44709433,58.01814277,3803.0,-4407509.173725588,3969.0,1798.0,1351.0,0.2890077949530982,3161.0,1784.0
2022-06-02,5.936260378,3890.0,3505.0,2517.0,29,-54.83874067,-20.44635133,56.78438928,3699.0,-3209177.9493757747,3805.0,1783.0,1296.0,0.2477136253552589,3152.0,1851.0
2022-06-02,6.014558985,3890.0,3505.0,2517.0,29,-54.83874067,-20.44635133,54.91068245,3699.0,-3209177.9493757747,3805.0,1783.0,1296.0,0.2477136253552589,3152.0,1851.0
2022-06-02,5.766645524,3645.0,3352.0,2484.0,30,-54.839228,-20.44644167,56.80856683,3508.0,-2463095.7529425304,3618.0,1735.0,1319.0,0.219097485821462,3160.0,1866.0
2022-06-02,5.845264177,3645.0,3352.0,2484.0,30,-54.839228,-20.44644167,56.97572872,3508.0,-2463095.7529425304,3618.0,1735.0,1319.0,0.219097485821462,3160.0,1866.0
