Date,TDN_based_ADF,RAD_SOL,PRES_ATM,Radiative_Dif_AVG,TEMP_MIN,Radiative_Direct_AVG,TEMP_MAX,B6,HUM_REL,B1,GEMI,CP,Longitude,TP_SFC_AVG,WIND_SPD,B8
2022-07-06,47.99895872,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2952.0,47.45833333,1325.0,-1341990.624065628,4.632362746,-54.839505,23.18782604166667,21.8,3171.0
2022-07-06,52.44721853,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2952.0,47.45833333,1325.0,-1341990.624065628,4.811976056,-54.839505,23.18782604166667,21.8,3171.0
2022-07-06,49.69773698,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2956.0,47.45833333,1358.0,-1268877.254579512,4.644871037,-54.83885633,23.18782604166667,21.8,3146.0
2022-07-06,50.62115786,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2956.0,47.45833333,1358.0,-1268877.254579512,4.647188837,-54.83885633,23.18782604166667,21.8,3146.0
2022-07-06,47.12037117,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2861.0,47.45833333,1318.0,-1152285.9144877994,5.006476461,-54.83924633,23.18782604166667,21.8,3060.0
2022-07-06,54.54078847,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2861.0,47.45833333,1318.0,-1152285.9144877994,4.908830785,-54.83924633,23.18782604166667,21.8,3060.0
2022-07-06,51.82397028,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2897.0,47.45833333,1314.0,-1208778.7864584832,5.873590871,-54.83876267,23.18782604166667,21.8,3083.0
2022-07-06,44.13031441,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2897.0,47.45833333,1314.0,-1208778.7864584832,5.785925335,-54.83876267,23.18782604166667,21.8,3083.0
2022-07-06,50.04360893,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2861.0,47.45833333,1318.0,-1152285.9144877994,4.811648506,-54.839261,23.18782604166667,21.8,3060.0
2022-07-06,47.45754752,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2861.0,47.45833333,1318.0,-1152285.9144877994,4.724163988,-54.839261,23.18782604166667,21.8,3060.0
2022-07-06,49.96751289,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2897.0,47.45833333,1314.0,-1208778.7864584832,5.569296814,-54.83876433,23.18782604166667,21.8,3083.0
2022-07-06,51.15011768,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,2897.0,47.45833333,1314.0,-1208778.7864584832,5.495982242,-54.83876433,23.18782604166667,21.8,3083.0
2022-07-06,39.71977991,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,3068.0,47.45833333,1355.0,-1815585.956319232,2.184244027,-54.83930267,23.18782604166667,21.8,3374.0
2022-07-06,39.94216274,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,3068.0,47.45833333,1355.0,-1815585.956319232,2.097922179,-54.83930267,23.18782604166667,21.8,3374.0
2022-07-06,44.99006643,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,3054.0,47.45833333,1367.0,-1683349.1834539694,2.51860294,-54.83926867,23.18782604166667,21.8,3366.0
2022-07-06,45.6389018,16.17,1014.941667,160.6174160877295,19.2,7.444172718405275,30.7,3054.0,47.45833333,1367.0,-1683349.1834539694,2.517344268,-54.83926867,23.18782604166667,21.8,3366.0
2022-06-02,52.16173204,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3589.0,48.95833333,1357.0,-4126621.009712011,4.971290278,-54.83885933,21.05472263888889,18.4,3812.0
2022-06-02,51.91894479,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3589.0,48.95833333,1357.0,-4126621.009712011,5.153428538,-54.83885933,21.05472263888889,18.4,3812.0
2022-06-02,52.29991626,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3751.0,48.95833333,1285.0,-4249395.487146078,4.722079746,-54.838545,21.05472263888889,18.4,3794.0
2022-06-02,51.92080274,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3751.0,48.95833333,1285.0,-4249395.487146078,4.994371414,-54.838545,21.05472263888889,18.4,3794.0
2022-06-02,56.89019404,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3512.0,48.95833333,1320.0,-3461147.9231516304,5.325789098,-54.83948333,21.05472263888889,18.4,3721.0
2022-06-02,52.93481013,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3512.0,48.95833333,1320.0,-3461147.9231516304,5.309867456,-54.83948333,21.05472263888889,18.4,3721.0
2022-06-02,57.95038309,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3629.0,48.95833333,1351.0,-4407509.173725588,5.425175171,-54.83860133,21.05472263888889,18.4,3884.0
2022-06-02,58.01814277,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3629.0,48.95833333,1351.0,-4407509.173725588,5.594600174,-54.83860133,21.05472263888889,18.4,3884.0
2022-06-02,56.78438928,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3505.0,48.95833333,1296.0,-3209177.9493757747,5.936260378,-54.83874067,21.05472263888889,18.4,3643.0
2022-06-02,54.91068245,14.5,1012.7375,99.04042020517376,20.1,10.858879727653326,30.6,3505.0,48.95833333,1296.0,-3209177.9493757747,6.014558985,-54.83874067,21.05472263888889,18.4,3643.0
