Date,TDN_based_ADF,TEMP_MIN,RAD_SOL,TEMP_MAX,PRES_ATM,Radiative_Dif_AVG,CP,WIND_SPD,HUM_REL,Latitude,Longitude,B1,TP_SFC_AVG,B8,GEMI,EVAPOT
2022-07-06,47.99895872,19.2,16.17,30.7,1014.941667,160.6174160877295,4.632362746,21.8,47.45833333,-20.44671667,-54.839505,1325.0,23.18782604166667,3171.0,-1341990.624065628,4.95
2022-07-06,52.44721853,19.2,16.17,30.7,1014.941667,160.6174160877295,4.811976056,21.8,47.45833333,-20.44671667,-54.839505,1325.0,23.18782604166667,3171.0,-1341990.624065628,4.95
2022-07-06,49.69773698,19.2,16.17,30.7,1014.941667,160.6174160877295,4.644871037,21.8,47.45833333,-20.44699567,-54.83885633,1358.0,23.18782604166667,3146.0,-1268877.254579512,4.96
2022-07-06,50.62115786,19.2,16.17,30.7,1014.941667,160.6174160877295,4.647188837,21.8,47.45833333,-20.44699567,-54.83885633,1358.0,23.18782604166667,3146.0,-1268877.254579512,4.96
2022-07-06,47.12037117,19.2,16.17,30.7,1014.941667,160.6174160877295,5.006476461,21.8,47.45833333,-20.446424,-54.83924633,1318.0,23.18782604166667,3060.0,-1152285.9144877994,4.96
2022-07-06,54.54078847,19.2,16.17,30.7,1014.941667,160.6174160877295,4.908830785,21.8,47.45833333,-20.446424,-54.83924633,1318.0,23.18782604166667,3060.0,-1152285.9144877994,4.96
2022-07-06,51.82397028,19.2,16.17,30.7,1014.941667,160.6174160877295,5.873590871,21.8,47.45833333,-20.44633333,-54.83876267,1314.0,23.18782604166667,3083.0,-1208778.7864584832,4.96
2022-07-06,44.13031441,19.2,16.17,30.7,1014.941667,160.6174160877295,5.785925335,21.8,47.45833333,-20.44633333,-54.83876267,1314.0,23.18782604166667,3083.0,-1208778.7864584832,4.96
2022-07-06,50.04360893,19.2,16.17,30.7,1014.941667,160.6174160877295,4.811648506,21.8,47.45833333,-20.446437,-54.839261,1318.0,23.18782604166667,3060.0,-1152285.9144877994,4.96
2022-07-06,47.45754752,19.2,16.17,30.7,1014.941667,160.6174160877295,4.724163988,21.8,47.45833333,-20.446437,-54.839261,1318.0,23.18782604166667,3060.0,-1152285.9144877994,4.96
2022-07-06,49.96751289,19.2,16.17,30.7,1014.941667,160.6174160877295,5.569296814,21.8,47.45833333,-20.44631867,-54.83876433,1314.0,23.18782604166667,3083.0,-1208778.7864584832,4.96
2022-07-06,51.15011768,19.2,16.17,30.7,1014.941667,160.6174160877295,5.495982242,21.8,47.45833333,-20.44631867,-54.83876433,1314.0,23.18782604166667,3083.0,-1208778.7864584832,4.96
2022-07-06,39.71977991,19.2,16.17,30.7,1014.941667,160.6174160877295,2.184244027,21.8,47.45833333,-20.446936,-54.83930267,1355.0,23.18782604166667,3374.0,-1815585.956319232,4.95
2022-07-06,39.94216274,19.2,16.17,30.7,1014.941667,160.6174160877295,2.097922179,21.8,47.45833333,-20.446936,-54.83930267,1355.0,23.18782604166667,3374.0,-1815585.956319232,4.95
2022-07-06,44.99006643,19.2,16.17,30.7,1014.941667,160.6174160877295,2.51860294,21.8,47.45833333,-20.447077,-54.83926867,1367.0,23.18782604166667,3366.0,-1683349.1834539694,4.95
2022-07-06,45.6389018,19.2,16.17,30.7,1014.941667,160.6174160877295,2.517344268,21.8,47.45833333,-20.447077,-54.83926867,1367.0,23.18782604166667,3366.0,-1683349.1834539694,4.95
2022-07-21,50.08470623,18.2,16.33,29.8,1015.320833,196.51151854977056,4.0750374,19.6,41.75,-20.44655467,-54.83886967,1319.0,25.075837569444456,3049.0,-1000899.9193734288,4.84
2022-07-21,51.97453858,18.2,16.33,29.8,1015.320833,196.51151854977056,3.905531235,19.6,41.75,-20.44655467,-54.83886967,1319.0,25.075837569444456,3049.0,-1000899.9193734288,4.84
2022-07-21,50.4350504,18.2,16.33,29.8,1015.320833,196.51151854977056,4.748523275,19.6,41.75,-20.44708367,-54.83894367,1360.0,25.075837569444456,3368.0,-1654928.219673158,4.84
2022-07-21,50.29643604,18.2,16.33,29.8,1015.320833,196.51151854977056,4.49175319,19.6,41.75,-20.44708367,-54.83894367,1360.0,25.075837569444456,3368.0,-1654928.219673158,4.84
2022-07-21,49.99054854,18.2,16.33,29.8,1015.320833,196.51151854977056,5.190822256,19.6,41.75,-20.447259,-54.83877367,1350.0,25.075837569444456,3447.0,-1930532.6886187089,4.84
2022-07-21,48.28967743,18.2,16.33,29.8,1015.320833,196.51151854977056,5.117069323,19.6,41.75,-20.447259,-54.83904833,1365.0,25.075837569444456,3109.0,-529205.9539032849,4.84
2022-07-21,51.31570161,18.2,16.33,29.8,1015.320833,196.51151854977056,3.812609284,19.6,41.75,-20.44615,-54.83900633,1303.0,25.075837569444456,3140.0,-1248683.1403969412,4.84
2022-07-21,49.91940399,18.2,16.33,29.8,1015.320833,196.51151854977056,4.074594162,19.6,41.75,-20.44615,-54.83900633,1303.0,25.075837569444456,3140.0,-1248683.1403969412,4.84
2022-07-21,48.78051506,18.2,16.33,29.8,1015.320833,196.51151854977056,2.247466863,19.6,41.75,-20.446899,-54.83944133,1330.0,25.075837569444456,3291.0,-1756780.9427319784,4.83
2022-07-21,49.06326227,18.2,16.33,29.8,1015.320833,196.51151854977056,2.420348929,19.6,41.75,-20.446899,-54.83944133,1330.0,25.075837569444456,3291.0,-1756780.9427319784,4.83
2022-07-21,41.73064629,18.2,16.33,29.8,1015.320833,196.51151854977056,2.919129951,19.6,41.75,-20.44713633,-54.83906267,1366.0,25.075837569444456,3635.0,-2115386.175276928,4.84
