Date,TDN_based_ADF,Radiative_Dif_AVG,RAD_SOL,TEMP_MAX,PRES_ATM,TEMP_MIN,Radiative_Direct_AVG,TP_SFC_AVG,EVAPOT,GEMI,B1,Longitude,CP,LAI,Latitude,HUM_REL
2022-07-06,47.99895872,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.95,-1341990.624065628,1325.0,-54.839505,4.632362746,0.464403971155235,-20.44671667,47.45833333
2022-07-06,52.44721853,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.95,-1341990.624065628,1325.0,-54.839505,4.811976056,0.464403971155235,-20.44671667,47.45833333
2022-07-06,49.69773698,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1268877.254579512,1358.0,-54.83885633,4.644871037,0.4485819048889482,-20.44699567,47.45833333
2022-07-06,50.62115786,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1268877.254579512,1358.0,-54.83885633,4.647188837,0.4485819048889482,-20.44699567,47.45833333
2022-07-06,47.12037117,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1152285.9144877994,1318.0,-54.83924633,5.006476461,0.4269406498227347,-20.446424,47.45833333
2022-07-06,54.54078847,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1152285.9144877994,1318.0,-54.83924633,4.908830785,0.4269406498227347,-20.446424,47.45833333
2022-07-06,51.82397028,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1208778.7864584832,1314.0,-54.83876267,5.873590871,0.4396386320072637,-20.44633333,47.45833333
2022-07-06,44.13031441,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1208778.7864584832,1314.0,-54.83876267,5.785925335,0.4396386320072637,-20.44633333,47.45833333
2022-07-06,50.04360893,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1152285.9144877994,1318.0,-54.839261,4.811648506,0.4269406498227347,-20.446437,47.45833333
2022-07-06,47.45754752,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1152285.9144877994,1318.0,-54.839261,4.724163988,0.4269406498227347,-20.446437,47.45833333
2022-07-06,49.96751289,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1208778.7864584832,1314.0,-54.83876433,5.569296814,0.4396386320072637,-20.44631867,47.45833333
2022-07-06,51.15011768,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.96,-1208778.7864584832,1314.0,-54.83876433,5.495982242,0.4396386320072637,-20.44631867,47.45833333
2022-07-06,39.71977991,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.95,-1815585.956319232,1355.0,-54.83930267,2.184244027,0.5505891952359018,-20.446936,47.45833333
2022-07-06,39.94216274,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.95,-1815585.956319232,1355.0,-54.83930267,2.097922179,0.5505891952359018,-20.446936,47.45833333
2022-07-06,44.99006643,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.95,-1683349.1834539694,1367.0,-54.83926867,2.51860294,0.5225304104925474,-20.447077,47.45833333
2022-07-06,45.6389018,160.6174160877295,16.17,30.7,1014.941667,19.2,7.444172718405275,23.18782604166667,4.95,-1683349.1834539694,1367.0,-54.83926867,2.517344268,0.5225304104925474,-20.447077,47.45833333
2022-05-05,59.16877402,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-7982764.445168112,1312.0,-54.83857533,7.383236857,1.3060364795150925,-20.44708767,55.70833333
2022-05-05,54.298515,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-7982764.445168112,1312.0,-54.83857533,7.474862505,1.3060364795150925,-20.44708767,55.70833333
2022-05-05,58.96565064,83.35255690060406,17.25,31.8,1014.441667,22.7,172.29668451737672,17.39509201388888,4.48,-7736081.181775502,1285.0,-54.83967167,6.853040883,1.277242029387302,-20.44655833,55.70833333
