Date,TDN_based_ADF,NDWI,CP,GEMI,B1,Longitude,B6,B12,B8,Delta_days,DVI,EVI,Latitude,GCI,B8A,B11
2022-07-06,47.99895872,-0.0335253286072958,4.632362746,-1341990.624065628,1325.0,-54.839505,2952.0,2919.0,3171.0,4,1159.0,0.1609740108223424,-20.44671667,0.8543859649122807,3272.0,3499.0
2022-07-06,52.44721853,-0.0335253286072958,4.811976056,-1341990.624065628,1325.0,-54.839505,2952.0,2919.0,3171.0,4,1159.0,0.1609740108223424,-20.44671667,0.8543859649122807,3272.0,3499.0
2022-07-06,49.69773698,-0.0166716284608514,4.644871037,-1268877.254579512,1358.0,-54.83885633,2956.0,2855.0,3146.0,4,1127.0,0.1566008581782609,-20.44699567,0.8473282442748091,3303.0,3415.0
2022-07-06,50.62115786,-0.0166716284608514,4.647188837,-1268877.254579512,1358.0,-54.83885633,2956.0,2855.0,3146.0,4,1127.0,0.1566008581782609,-20.44699567,0.8473282442748091,3303.0,3415.0
2022-07-06,47.12037117,-0.0257755826516437,5.006476461,-1152285.9144877994,1318.0,-54.83924633,2861.0,2834.0,3060.0,4,1074.0,0.1506193061975496,-20.446424,0.8389423076923077,3156.0,3323.0
2022-07-06,54.54078847,-0.0257755826516437,4.908830785,-1152285.9144877994,1318.0,-54.83924633,2861.0,2834.0,3060.0,4,1074.0,0.1506193061975496,-20.446424,0.8389423076923077,3156.0,3323.0
2022-07-06,51.82397028,-0.0303497149899861,5.873590871,-1208778.7864584832,1314.0,-54.83876267,2897.0,2833.0,3083.0,4,1100.0,0.1541289751263857,-20.44633333,0.8438995215311005,3147.0,3344.0
2022-07-06,44.13031441,-0.0303497149899861,5.785925335,-1208778.7864584832,1314.0,-54.83876267,2897.0,2833.0,3083.0,4,1100.0,0.1541289751263857,-20.44633333,0.8438995215311005,3147.0,3344.0
2022-07-06,50.04360893,-0.0257755826516437,4.811648506,-1152285.9144877994,1318.0,-54.839261,2861.0,2834.0,3060.0,4,1074.0,0.1506193061975496,-20.446437,0.8389423076923077,3156.0,3323.0
2022-07-06,47.45754752,-0.0257755826516437,4.724163988,-1152285.9144877994,1318.0,-54.839261,2861.0,2834.0,3060.0,4,1074.0,0.1506193061975496,-20.446437,0.8389423076923077,3156.0,3323.0
