Date,CP,Longwave_Rad_AVG,TEMP_MIN,RAD_SOL,RAIN,SampleID,Longitude,TDN_based_ADF,WIND_SPD,Latitude,B9,B11,Radiative_Direct_AVG,B7,NDWI,Radiative_Dif_AVG
2022-07-06,4.632362746,344.2124872222221,19.2,16.17,0.0,1,-54.839505,47.99895872,21.8,-20.44671667,3280.0,3499.0,7.444172718405275,3147.0,-0.0335253286072958,160.6174160877295
2022-07-06,4.811976056,344.2124872222221,19.2,16.17,0.0,1,-54.839505,52.44721853,21.8,-20.44671667,3280.0,3499.0,7.444172718405275,3147.0,-0.0335253286072958,160.6174160877295
2022-07-06,4.644871037,344.2124872222221,19.2,16.17,0.0,2,-54.83885633,49.69773698,21.8,-20.44699567,3260.0,3415.0,7.444172718405275,3096.0,-0.0166716284608514,160.6174160877295
2022-07-06,4.647188837,344.2124872222221,19.2,16.17,0.0,2,-54.83885633,50.62115786,21.8,-20.44699567,3260.0,3415.0,7.444172718405275,3096.0,-0.0166716284608514,160.6174160877295
2022-07-06,5.006476461,344.2124872222221,19.2,16.17,0.0,3,-54.83924633,47.12037117,21.8,-20.446424,3194.0,3323.0,7.444172718405275,3025.0,-0.0257755826516437,160.6174160877295
2022-07-06,4.908830785,344.2124872222221,19.2,16.17,0.0,3,-54.83924633,54.54078847,21.8,-20.446424,3194.0,3323.0,7.444172718405275,3025.0,-0.0257755826516437,160.6174160877295
2022-07-06,5.873590871,344.2124872222221,19.2,16.17,0.0,4,-54.83876267,51.82397028,21.8,-20.44633333,3184.0,3344.0,7.444172718405275,3041.0,-0.0303497149899861,160.6174160877295
2022-07-06,5.785925335,344.2124872222221,19.2,16.17,0.0,4,-54.83876267,44.13031441,21.8,-20.44633333,3184.0,3344.0,7.444172718405275,3041.0,-0.0303497149899861,160.6174160877295
2022-07-06,4.811648506,344.2124872222221,19.2,16.17,0.0,5,-54.839261,50.04360893,21.8,-20.446437,3194.0,3323.0,7.444172718405275,3025.0,-0.0257755826516437,160.6174160877295
2022-07-06,4.724163988,344.2124872222221,19.2,16.17,0.0,5,-54.839261,47.45754752,21.8,-20.446437,3194.0,3323.0,7.444172718405275,3025.0,-0.0257755826516437,160.6174160877295
2022-07-06,5.569296814,344.2124872222221,19.2,16.17,0.0,6,-54.83876433,49.96751289,21.8,-20.44631867,3184.0,3344.0,7.444172718405275,3041.0,-0.0303497149899861,160.6174160877295
2022-07-06,5.495982242,344.2124872222221,19.2,16.17,0.0,6,-54.83876433,51.15011768,21.8,-20.44631867,3184.0,3344.0,7.444172718405275,3041.0,-0.0303497149899861,160.6174160877295
2022-07-06,2.184244027,344.2124872222221,19.2,16.17,0.0,7,-54.83930267,39.71977991,21.8,-20.446936,3322.0,3452.0,7.444172718405275,3307.0,0.0168043292509256,160.6174160877295
2022-07-06,2.097922179,344.2124872222221,19.2,16.17,0.0,7,-54.83930267,39.94216274,21.8,-20.446936,3322.0,3452.0,7.444172718405275,3307.0,0.0168043292509256,160.6174160877295
2022-07-06,2.51860294,344.2124872222221,19.2,16.17,0.0,8,-54.83926867,44.99006643,21.8,-20.447077,3348.0,3499.0,7.444172718405275,3331.0,0.0092028882910944,160.6174160877295
2022-07-06,2.517344268,344.2124872222221,19.2,16.17,0.0,8,-54.83926867,45.6389018,21.8,-20.447077,3348.0,3499.0,7.444172718405275,3331.0,0.0092028882910944,160.6174160877295
2022-07-21,4.0750374,356.25371319444463,18.2,16.33,0.0,9,-54.83886967,50.08470623,19.6,-20.44655467,3270.0,3269.0,11.336125133079872,3072.0,-0.01616412806963,196.51151854977056
2022-07-21,3.905531235,356.25371319444463,18.2,16.33,0.0,9,-54.83886967,51.97453858,19.6,-20.44655467,3270.0,3269.0,11.336125133079872,3072.0,-0.01616412806963,196.51151854977056
2022-07-21,4.748523275,356.25371319444463,18.2,16.33,0.0,10,-54.83894367,50.4350504,19.6,-20.44708367,3370.0,3480.0,11.336125133079872,3274.0,0.0038643194504079,196.51151854977056
2022-07-21,4.49175319,356.25371319444463,18.2,16.33,0.0,10,-54.83894367,50.29643604,19.6,-20.44708367,3370.0,3480.0,11.336125133079872,3274.0,0.0038643194504079,196.51151854977056
2022-07-21,5.190822256,356.25371319444463,18.2,16.33,0.0,11,-54.83877367,49.99054854,19.6,-20.447259,3348.0,3406.0,11.336125133079872,3293.0,-0.0108324677251817,196.51151854977056
2022-07-21,5.117069323,356.25371319444463,18.2,16.33,0.0,11,-54.83904833,48.28967743,19.6,-20.447259,3396.0,3281.0,11.336125133079872,3037.0,-0.0129669651126891,196.51151854977056
2022-07-21,3.812609284,356.25371319444463,18.2,16.33,0.0,12,-54.83900633,51.31570161,19.6,-20.44615,3249.0,3316.0,11.336125133079872,3114.0,-0.0153092467850581,196.51151854977056
2022-07-21,4.074594162,356.25371319444463,18.2,16.33,0.0,12,-54.83900633,49.91940399,19.6,-20.44615,3249.0,3316.0,11.336125133079872,3114.0,-0.0153092467850581,196.51151854977056
2022-07-21,2.247466863,356.25371319444463,18.2,16.33,0.0,13,-54.83944133,48.78051506,19.6,-20.446899,3354.0,3447.0,11.336125133079872,3290.0,0.0111876075731497,196.51151854977056
2022-07-21,2.420348929,356.25371319444463,18.2,16.33,0.0,13,-54.83944133,49.06326227,19.6,-20.446899,3354.0,3447.0,11.336125133079872,3290.0,0.0111876075731497,196.51151854977056
2022-07-21,2.919129951,356.25371319444463,18.2,16.33,0.0,14,-54.83906267,41.73064629,19.6,-20.44713633,3396.0,3437.0,11.336125133079872,3277.0,0.0008720930232558,196.51151854977056
2022-07-21,2.574416975,356.25371319444463,18.2,16.33,0.0,14,-54.83906267,41.15968057,19.6,-20.44713633,3396.0,3437.0,11.336125133079872,3277.0,0.0008720930232558,196.51151854977056
2022-05-05,7.383236857,340.90736451388904,22.7,17.25,0.0,15,-54.83857533,59.16877402,14.5,-20.44708767,4245.0,2945.0,172.29668451737672,4362.0,0.20469889278963,83.35255690060406
2022-05-05,7.474862505,340.90736451388904,22.7,17.25,0.0,15,-54.83857533,54.298515,14.5,-20.44708767,4245.0,2945.0,172.29668451737672,4362.0,0.20469889278963,83.35255690060406
2022-05-05,6.853040883,340.90736451388904,22.7,17.25,0.0,16,-54.83967167,58.96565064,14.5,-20.44655833,4190.0,3031.0,172.29668451737672,4313.0,0.1782567439338484,83.35255690060406
2022-05-05,6.511340686,340.90736451388904,22.7,17.25,0.0,16,-54.83967167,59.35026089,14.5,-20.44655833,4190.0,3031.0,172.29668451737672,4313.0,0.1782567439338484,83.35255690060406
2022-05-05,6.265799839,340.90736451388904,22.7,17.25,0.0,17,-54.83883633,59.47771711,14.5,-20.44616533,4216.0,2962.0,172.29668451737672,3988.0,0.1575654152445961,83.35255690060406
2022-05-05,6.268929609,340.90736451388904,22.7,17.25,0.0,17,-54.83883633,54.46806161,14.5,-20.44616533,4216.0,2962.0,172.29668451737672,3988.0,0.1575654152445961,83.35255690060406
2022-05-05,6.080742916,340.90736451388904,22.7,17.25,0.0,18,-54.839142,54.93019367,14.5,-20.44645667,4074.0,2985.0,172.29668451737672,3883.0,0.1416247304097771,83.35255690060406
2022-05-05,6.074668248,340.90736451388904,22.7,17.25,0.0,18,-54.839142,54.12077782,14.5,-20.44645667,4074.0,2985.0,172.29668451737672,3883.0,0.1416247304097771,83.35255690060406
2022-05-05,5.806473042,340.90736451388904,22.7,17.25,0.0,19,-54.839544,54.04713363,14.5,-20.44632333,4001.0,2985.0,172.29668451737672,4058.0,0.1624579124579124,83.35255690060406
2022-05-05,5.715641212,340.90736451388904,22.7,17.25,0.0,19,-54.839544,51.42073296,14.5,-20.44632333,4001.0,2985.0,172.29668451737672,4058.0,0.1624579124579124,83.35255690060406
2022-05-05,7.385197402,340.90736451388904,22.7,17.25,0.0,20,-54.83930467,56.48945805,14.5,-20.44663067,4110.0,2973.0,172.29668451737672,4079.0,0.1672268907563025,83.35255690060406
2022-05-05,7.385197402,340.90736451388904,22.7,17.25,0.0,20,-54.83930467,53.17267835,14.5,-20.44663067,4110.0,2973.0,172.29668451737672,4079.0,0.1672268907563025,83.35255690060406
2022-05-05,5.899621568,340.90736451388904,22.7,17.25,0.0,21,-54.83855567,58.73142471,14.5,-20.44637233,4499.0,2937.0,172.29668451737672,4224.0,0.1965531391054575,83.35255690060406
2022-05-05,5.887857617,340.90736451388904,22.7,17.25,0.0,21,-54.83855567,60.29755294,14.5,-20.44637233,4499.0,2937.0,172.29668451737672,4224.0,0.1965531391054575,83.35255690060406
2022-05-05,6.353050887,340.90736451388904,22.7,17.25,0.0,22,-54.838707,58.56210858,14.5,-20.44706367,4218.0,2964.0,172.29668451737672,4433.0,0.204722296753421,83.35255690060406
2022-05-05,6.353050887,340.90736451388904,22.7,17.25,0.0,22,-54.838707,55.20215491,14.5,-20.44706367,4218.0,2964.0,172.29668451737672,4433.0,0.204722296753421,83.35255690060406
2022-05-05,3.040877175,340.90736451388904,22.7,17.25,0.0,23,-54.83922433,52.27533421,14.5,-20.44710133,4020.0,3007.0,172.29668451737672,3934.0,0.145374449339207,83.35255690060406
2022-05-05,3.04694679,340.90736451388904,22.7,17.25,0.0,23,-54.83922433,50.03009882,14.5,-20.44710133,4020.0,3007.0,172.29668451737672,3934.0,0.145374449339207,83.35255690060406
