Date,CP,B9,Longwave_Rad_AVG,TEMP_MIN,RAD_SOL,Radiative_Dif_AVG,Longitude,B6,PPFD,Latitude,Radiative_Direct_AVG,TDN_based_ADF,RAIN,EVAPOT,B1,B5
2022-07-06,4.632362746,3280.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.839505,2952.0,358.8375035782738,-20.44671667,7.444172718405275,47.99895872,0.0,4.95,1325.0,2427.0
2022-07-06,4.811976056,3280.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.839505,2952.0,358.8375035782738,-20.44671667,7.444172718405275,52.44721853,0.0,4.95,1325.0,2427.0
2022-07-06,4.644871037,3260.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83885633,2956.0,358.8375035782738,-20.44699567,7.444172718405275,49.69773698,0.0,4.96,1358.0,2435.0
2022-07-06,4.647188837,3260.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83885633,2956.0,358.8375035782738,-20.44699567,7.444172718405275,50.62115786,0.0,4.96,1358.0,2435.0
2022-07-06,5.006476461,3194.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83924633,2861.0,358.8375035782738,-20.446424,7.444172718405275,47.12037117,0.0,4.96,1318.0,2381.0
2022-07-06,4.908830785,3194.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83924633,2861.0,358.8375035782738,-20.446424,7.444172718405275,54.54078847,0.0,4.96,1318.0,2381.0
2022-07-06,5.873590871,3184.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83876267,2897.0,358.8375035782738,-20.44633333,7.444172718405275,51.82397028,0.0,4.96,1314.0,2391.0
2022-07-06,5.785925335,3184.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83876267,2897.0,358.8375035782738,-20.44633333,7.444172718405275,44.13031441,0.0,4.96,1314.0,2391.0
2022-07-06,4.811648506,3194.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.839261,2861.0,358.8375035782738,-20.446437,7.444172718405275,50.04360893,0.0,4.96,1318.0,2381.0
2022-07-06,4.724163988,3194.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.839261,2861.0,358.8375035782738,-20.446437,7.444172718405275,47.45754752,0.0,4.96,1318.0,2381.0
2022-07-06,5.569296814,3184.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83876433,2897.0,358.8375035782738,-20.44631867,7.444172718405275,49.96751289,0.0,4.96,1314.0,2391.0
2022-07-06,5.495982242,3184.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83876433,2897.0,358.8375035782738,-20.44631867,7.444172718405275,51.15011768,0.0,4.96,1314.0,2391.0
2022-07-06,2.184244027,3322.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83930267,3068.0,358.8375035782738,-20.446936,7.444172718405275,39.71977991,0.0,4.95,1355.0,2431.0
2022-07-06,2.097922179,3322.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83930267,3068.0,358.8375035782738,-20.446936,7.444172718405275,39.94216274,0.0,4.95,1355.0,2431.0
2022-07-06,2.51860294,3348.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83926867,3054.0,358.8375035782738,-20.447077,7.444172718405275,44.99006643,0.0,4.95,1367.0,2449.0
2022-07-06,2.517344268,3348.0,344.2124872222221,19.2,16.17,160.6174160877295,-54.83926867,3054.0,358.8375035782738,-20.447077,7.444172718405275,45.6389018,0.0,4.95,1367.0,2449.0
2022-05-05,7.383236857,4245.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.83857533,4066.0,334.03221646603583,-20.44708767,172.29668451737672,59.16877402,0.0,4.48,1312.0,2315.0
2022-05-05,7.474862505,4245.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.83857533,4066.0,334.03221646603583,-20.44708767,172.29668451737672,54.298515,0.0,4.48,1312.0,2315.0
2022-05-05,6.853040883,4190.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.83967167,3987.0,334.03221646603583,-20.44655833,172.29668451737672,58.96565064,0.0,4.48,1285.0,2345.0
2022-05-05,6.511340686,4190.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.83967167,3987.0,334.03221646603583,-20.44655833,172.29668451737672,59.35026089,0.0,4.48,1285.0,2345.0
2022-05-05,6.265799839,4216.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.83883633,3732.0,334.03221646603583,-20.44616533,172.29668451737672,59.47771711,0.0,4.48,1275.0,2354.0
2022-05-05,6.268929609,4216.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.83883633,3732.0,334.03221646603583,-20.44616533,172.29668451737672,54.46806161,0.0,4.48,1275.0,2354.0
2022-05-05,6.080742916,4074.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.839142,3667.0,334.03221646603583,-20.44645667,172.29668451737672,54.93019367,0.0,4.48,1288.0,2369.0
2022-05-05,6.074668248,4074.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.839142,3667.0,334.03221646603583,-20.44645667,172.29668451737672,54.12077782,0.0,4.48,1288.0,2369.0
2022-05-05,5.806473042,4001.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.839544,3784.0,334.03221646603583,-20.44632333,172.29668451737672,54.04713363,0.0,4.48,1275.0,2342.0
2022-05-05,5.715641212,4001.0,340.90736451388904,22.7,17.25,83.35255690060406,-54.839544,3784.0,334.03221646603583,-20.44632333,172.29668451737672,51.42073296,0.0,4.48,1275.0,2342.0
