Date,TDN_based_ADF,CP,B12,GEMI,B6,Longitude,B1,B8A,B5,EVI,Latitude,NDWI,B8,SampleID,LAI,B4
2022-07-06,47.99895872,4.632362746,2919.0,-1341990.624065628,2952.0,-54.839505,1325.0,3272.0,2427.0,0.1609740108223424,-20.44671667,-0.0335253286072958,3171.0,1,0.464403971155235,2012.0
2022-07-06,52.44721853,4.811976056,2919.0,-1341990.624065628,2952.0,-54.839505,1325.0,3272.0,2427.0,0.1609740108223424,-20.44671667,-0.0335253286072958,3171.0,1,0.464403971155235,2012.0
2022-07-06,49.69773698,4.644871037,2855.0,-1268877.254579512,2956.0,-54.83885633,1358.0,3303.0,2435.0,0.1566008581782609,-20.44699567,-0.0166716284608514,3146.0,2,0.4485819048889482,2019.0
2022-07-06,50.62115786,4.647188837,2855.0,-1268877.254579512,2956.0,-54.83885633,1358.0,3303.0,2435.0,0.1566008581782609,-20.44699567,-0.0166716284608514,3146.0,2,0.4485819048889482,2019.0
2022-07-06,47.12037117,5.006476461,2834.0,-1152285.9144877994,2861.0,-54.83924633,1318.0,3156.0,2381.0,0.1506193061975496,-20.446424,-0.0257755826516437,3060.0,3,0.4269406498227347,1986.0
2022-07-06,54.54078847,4.908830785,2834.0,-1152285.9144877994,2861.0,-54.83924633,1318.0,3156.0,2381.0,0.1506193061975496,-20.446424,-0.0257755826516437,3060.0,3,0.4269406498227347,1986.0
2022-07-06,51.82397028,5.873590871,2833.0,-1208778.7864584832,2897.0,-54.83876267,1314.0,3147.0,2391.0,0.1541289751263857,-20.44633333,-0.0303497149899861,3083.0,4,0.4396386320072637,1983.0
2022-07-06,44.13031441,5.785925335,2833.0,-1208778.7864584832,2897.0,-54.83876267,1314.0,3147.0,2391.0,0.1541289751263857,-20.44633333,-0.0303497149899861,3083.0,4,0.4396386320072637,1983.0
2022-07-06,50.04360893,4.811648506,2834.0,-1152285.9144877994,2861.0,-54.839261,1318.0,3156.0,2381.0,0.1506193061975496,-20.446437,-0.0257755826516437,3060.0,5,0.4269406498227347,1986.0
2022-07-06,47.45754752,4.724163988,2834.0,-1152285.9144877994,2861.0,-54.839261,1318.0,3156.0,2381.0,0.1506193061975496,-20.446437,-0.0257755826516437,3060.0,5,0.4269406498227347,1986.0
2022-07-06,49.96751289,5.569296814,2833.0,-1208778.7864584832,2897.0,-54.83876433,1314.0,3147.0,2391.0,0.1541289751263857,-20.44631867,-0.0303497149899861,3083.0,6,0.4396386320072637,1983.0
2022-07-06,51.15011768,5.495982242,2833.0,-1208778.7864584832,2897.0,-54.83876433,1314.0,3147.0,2391.0,0.1541289751263857,-20.44631867,-0.0303497149899861,3083.0,6,0.4396386320072637,1983.0
2022-07-06,39.71977991,2.184244027,2703.0,-1815585.956319232,3068.0,-54.83930267,1355.0,3570.0,2431.0,0.1847952446754842,-20.446936,0.0168043292509256,3374.0,7,0.5505891952359018,2026.0
2022-07-06,39.94216274,2.097922179,2703.0,-1815585.956319232,3068.0,-54.83930267,1355.0,3570.0,2431.0,0.1847952446754842,-20.446936,0.0168043292509256,3374.0,7,0.5505891952359018,2026.0
2022-07-06,44.99006643,2.51860294,2710.0,-1683349.1834539694,3054.0,-54.83926867,1367.0,3564.0,2449.0,0.1770399144534404,-20.447077,0.0092028882910944,3366.0,8,0.5225304104925474,2068.0
