Sample,Sub_Sample,Date_std,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
52,1,2022-04-06,,,,,,,,,,,,,,,
52,2,2022-04-06,,,,,,,,,,,,,,,
53,1,2022-04-06,,,,,,,,,,,,,,,
53,2,2022-04-06,,,,,,,,,,,,,,,
54,1,2022-04-06,,,,,,,,,,,,,,,
54,2,2022-04-06,,,,,,,,,,,,,,,
55,1,2022-04-06,,,,,,,,,,,,,,,
55,2,2022-04-06,,,,,,,,,,,,,,,
56,1,2022-04-06,,,,,,,,,,,,,,,
56,2,2022-04-06,,,,,,,,,,,,,,,
57,1,2022-04-06,,,,,,,,,,,,,,,
57,2,2022-04-06,,,,,,,,,,,,,,,
58,1,2022-04-06,,,,,,,,,,,,,,,
58,2,2022-04-06,,,,,,,,,,,,,,,
59,1,2022-04-06,,,,,,,,,,,,,,,
59,2,2022-04-06,,,,,,,,,,,,,,,
60,1,2022-04-06,,,,,,,,,,,,,,,
60,2,2022-04-06,,,,,,,,,,,,,,,
61,1,2022-08-03,,,,,,,,,,,,,,,
61,2,2022-08-03,,,,,,,,,,,,,,,
62,1,2022-08-03,,,,,,,,,,,,,,,
62,2,2022-08-03,,,,,,,,,,,,,,,
63,1,2022-08-03,,,,,,,,,,,,,,,
63,2,2022-08-03,,,,,,,,,,,,,,,
64,1,2022-08-03,,,,,,,,,,,,,,,
64,2,2022-08-03,,,,,,,,,,,,,,,
65,1,2022-08-03,,,,,,,,,,,,,,,
65,2,2022-08-03,,,,,,,,,,,,,,,
66,1,2022-08-03,,,,,,,,,,,,,,,
66,2,2022-08-03,,,,,,,,,,,,,,,
67,1,2022-08-03,,,,,,,,,,,,,,,
67,2,2022-08-03,,,,,,,,,,,,,,,
68,1,2022-08-03,,,,,,,,,,,,,,,
68,2,2022-08-03,,,,,,,,,,,,,,,
69,1,2022-08-03,,,,,,,,,,,,,,,
69,2,2022-08-03,,,,,,,,,,,,,,,
70,1,2022-08-24,,,,,,,,,,,,,,,
70,2,2022-08-24,,,,,,,,,,,,,,,
71,1,2022-08-24,,,,,,,,,,,,,,,
71,2,2022-08-24,,,,,,,,,,,,,,,
72,1,2022-08-24,,,,,,,,,,,,,,,
72,2,2022-08-24,,,,,,,,,,,,,,,
73,1,2022-08-24,,,,,,,,,,,,,,,
73,2,2022-08-24,,,,,,,,,,,,,,,
74,1,2022-08-24,,,,,,,,,,,,,,,
74,2,2022-08-24,,,,,,,,,,,,,,,
75,1,2022-08-24,,,,,,,,,,,,,,,
75,2,2022-08-24,,,,,,,,,,,,,,,
76,1,2022-09-08,,,,,,,,,,,,,,,
76,2,2022-09-08,,,,,,,,,,,,,,,
77,1,2022-09-08,,,,,,,,,,,,,,,
77,2,2022-09-08,,,,,,,,,,,,,,,
78,1,2022-09-08,,,,,,,,,,,,,,,
78,2,2022-09-08,,,,,,,,,,,,,,,
79,1,2022-09-08,,,,,,,,,,,,,,,
79,2,2022-09-08,,,,,,,,,,,,,,,
80,1,2022-09-08,,,,,,,,,,,,,,,
80,2,2022-09-08,,,,,,,,,,,,,,,
81,1,2022-09-08,,,,,,,,,,,,,,,
81,2,2022-09-08,,,,,,,,,,,,,,,
82,1,2022-09-08,,,,,,,,,,,,,,,
82,2,2022-09-08,,,,,,,,,,,,,,,
83,1,2022-10-13,,,,,,,,,,,,,,,
