START_DATE,FINAL_DATE,PERIOD,AMOUNT_DAYS,ANIMAL,START_WEIGHT,FINAL_WEIGHT,ADG,ADS,SUP_TIME,SUP_TOTAL,TOTAL_TIME,TOTAL_ATTENDANCE,TOTAL_DAYS,TOTAL_TIME (6-12h),TOTAL_ATTENDANCE (6-12h),TOTAL_DAYS (6-12h),TOTAL_TIME (12-18h),TOTAL_ATTENDANCE (12-18h),TOTAL_DAYS (12-18h),TOTAL_TIME (18-00h),TOTAL_ATTENDANCE (18-00h),TOTAL_DAYS (18-00h),TOTAL_TIME (6-8h),TOTAL_ATTENDANCE (6-8h),TOTAL_DAYS (6-8h),TOTAL_TIME (12-14h),TOTAL_ATTENDANCE (12-14h),TOTAL_DAYS (12-14h),TOTAL_TIME (18-20h),TOTAL_ATTENDANCE (18-20h),TOTAL_DAYS (18-20h),TOTAL_TIME_SPRING (09/23-12/21),TOTAL_ATTENDANCE_SPRING (09/23-12/21),TOTAL_DAYS_SPRING (09/23-12/21),TOTAL_TIME_SUMMER (12/22-03/20),TOTAL_ATTENDANCE_SUMMER (12/22-03/20),TOTAL_DAYS_SUMMER (12/22-03/20),TOTAL_TIME_AUTUMN (03/23-06/21),TOTAL_ATTENDANCE_AUTUMN (03/23-06/21),TOTAL_DAYS_AUTUMN (03/23-06/21),TOTAL_TIME_WINTER (06/22-09/22),TOTAL_ATTENDANCE_WINTER (06/22-09/22),TOTAL_DAYS_WINTER (06/22-09/22),BAND1,BAND2,BAND3,BAND4,BAND5,BAND6,BAND7,BAND8,BAND8A,BAND9,BAND11,BAND12,NDVI_INDEX,NDWI_INDEX,EVI_INDEX,LAI_INDEX,DVI_INDEX,GCI_INDEX,GEMI_INDEX,SAVI_INDEX,TEMP_AVG,RAIN_SUM,RAIN_AVG,RAD_SOL_SUM,RAD_SOL_AVG,EVAPOT,HUM_REL_AVG,PRES_ATM_AVG
2022-12-23,2023-01-20,1,28,1,300,310,"0,357",200.0,"6, 12, 18",5200.0,908,22,9,21,4,3,704,13,2,183,5,4,0,0,0,602,12,2,62,2,2,0,0,0,908,22,9,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,2,180,193,"0,464",200.0,"6, 12, 18",5200.0,660,4,4,0,0,0,342,1,1,243,2,2,0,0,0,0,0,0,243,2,2,0,0,0,660,4,4,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,3,250,271,"0,750",200.0,"6, 12, 18",5200.0,1745,12,6,823,4,3,276,3,1,646,5,3,0,0,0,276,3,1,0,0,0,0,0,0,1745,12,6,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,4,226,250,"0,857",200.0,"6, 12, 18",5200.0,534,9,3,0,0,0,7,2,1,527,7,2,0,0,0,7,2,1,221,4,1,0,0,0,534,9,3,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,5,173,196,"0,821",200.0,"6, 12, 18",5200.0,4181,31,8,1394,13,4,648,6,3,1300,8,4,0,0,0,584,5,2,68,1,1,0,0,0,4181,31,8,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,6,224,254,"1,071",200.0,"6, 12, 18",5200.0,543,4,2,0,0,0,499,2,1,44,2,1,0,0,0,499,2,1,0,0,0,0,0,0,543,4,2,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,7,195,222,"0,964",200.0,"6, 12, 18",5200.0,1300,22,4,366,9,2,216,5,1,718,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1300,22,4,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,8,187,215,"1,000",200.0,"6, 12, 18",5200.0,1791,28,7,883,9,4,446,7,3,451,10,3,0,0,0,4,1,1,0,0,0,0,0,0,1791,28,7,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,9,220,252,"1,143",200.0,"6, 12, 18",5200.0,1594,23,7,482,7,2,184,9,3,928,7,4,0,0,0,0,0,0,57,1,1,0,0,0,1594,23,7,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
2022-12-23,2023-01-20,1,28,11,256,280,"0,857",200.0,"6, 12, 18",5200.0,36,3,2,3,1,1,0,0,0,33,2,1,0,0,0,0,0,0,33,1,1,0,0,0,36,3,2,0,0,0,0,0,0,4683.6127011248755,4487.806635341022,4535.561583368931,4394.798519151359,5137.820589491669,5704.243058521999,5813.09554321515,5657.273529830556,5810.145806635341,8309.536522853481,4558.229531539228,3744.3364658977644,0.22441327624978488,0.10798453483584212,0.17365396728692203,0.5102800536440841,1262.4750106791962,0.6227938013494252,-2453009.070053636,0.3365901763653565,25.343603551724126,214.40000339,7.393103565172414,630.54,21.742758620689653,137.92872449999996,72.58869100574714,963.1510314655171
