fold_date,model,r2,rmse,mae
2022-04-06,xgb,-0.21304641900151533,5.629179644008918,4.336029549699219
2022-04-20,xgb,0.4449003859389776,3.913309731321744,3.6019651568294275
2022-05-05,xgb,0.20181793069387344,3.329676856644984,2.8193572010371097
2022-05-18,xgb,-1.6581736268504037,4.902536332737725,3.9747074429980462
2022-06-02,xgb,0.4234799734604896,3.511800909571168,2.9292139945495594
2022-06-22,xgb,-1.254963207030702,4.983430727598917,3.4597339107731124
2022-07-06,xgb,-0.20196479791506183,4.495686636119752,3.344524028728028
2022-07-21,xgb,-0.313681237588443,3.8268450564686325,3.4849573300341796
2022-08-03,xgb,0.10401985098973077,3.4458779495163117,2.908844925192599
2022-08-24,xgb,-0.01253744165325088,4.090773216986435,3.3842969027766947
2022-09-08,xgb,0.40218067038030003,2.7529068099782785,1.9974608212883649
2022-10-13,xgb,-0.43565090439235177,5.038140566746118,3.7089039072374126
2022-11-03,xgb,-1.1269473417641072,6.2054288365542565,4.7489012217470705
2022-11-16,xgb,-0.402838174507514,6.595260280211341,6.2798645576497405
2022-11-29,xgb,-0.6325307469927373,7.859337149177337,7.214477074943034
2022-12-08,xgb,0.6289183086459755,3.060897475443122,2.458056754373915
2022-12-14,xgb,-0.14612794599590306,4.4821884705430355,4.051522226246744
2023-01-13,xgb,-0.9673126838941566,4.6174123255119195,4.474613403242188
2023-01-26,xgb,0.01887227457270091,4.950601091232566,4.61637525749349
2023-02-09,xgb,0.09283143737535193,5.246741269434607,4.9554185775659185
2023-03-01,xgb,-0.16660796963410562,6.287540283406324,4.801004193598634
__mean__,xgb,-0.24835055548394536,4.7250272199625485,3.9785823065716426
