date,model,r2,rmse,mae
2022-04-06,ridge,0.6538810397630561,1.0090441295966384,0.8173270802551784
2022-04-20,ridge,0.873863681036377,0.5864481548699456,0.4593560566583436
2022-05-05,ridge,-0.037898371028070255,1.5874790949656858,1.375502567060034
2022-05-18,ridge,-2.0711486893567987,2.2387115569265266,1.9680323186180202
2022-06-02,ridge,0.5889769663547986,0.8591394537519004,0.7087636632518503
2022-06-22,ridge,-12.127297901801727,4.3522805523880965,3.7863593625483354
2022-07-06,ridge,0.6079396237368924,0.7857792232702268,0.7348254775468275
2022-07-21,ridge,-0.21493650608766512,1.0930806025840256,1.0270074709096575
2022-08-03,ridge,-0.03126086491785762,1.1540614932597935,1.004997272575432
2022-08-24,ridge,-13.011957596490126,5.1261339693059025,4.282054178618035
2022-09-08,ridge,-1.4930465342214498,1.8015144963192788,1.7433461404638761
2022-10-13,ridge,-0.3211567468251044,1.730139514586415,1.4094608731808598
2022-11-03,ridge,-0.6222066786772895,2.53644613862768,2.1276640429391467
2022-11-16,ridge,0.3701992450932693,1.8978684621232844,1.4178826181366955
2022-11-29,ridge,-1.7176364876366952,2.656277783401708,2.366698946415152
2022-12-08,ridge,0.3828389143584374,1.7026610655403118,1.4831951313167553
2022-12-14,ridge,-3.6418833504445454,3.0630327403795103,2.7060044572606365
2023-01-13,ridge,-10.309050539413663,8.779988065258205,8.10969250576895
2023-01-26,ridge,-0.4717741132479254,5.599800266303102,4.43298776229643
2023-02-09,ridge,-1.403478675920221,4.982343270398687,4.364116640784134
2023-03-01,ridge,-0.009742564971384704,2.079000443531428,1.796715431661826
__mean__,ridge,-2.095560769080842,2.6486300227327786,2.29152333325077
