fold_date,model,r2,rmse,mae
2022-04-06,linear,0.6413471502109365,1.027151744102928,0.8508069140071159
2022-04-20,linear,0.8953615043323419,0.5341402329648456,0.44035163928087645
2022-05-05,linear,0.042863203174769104,1.524465520468087,1.3274749494756939
2022-05-18,linear,-1.9790822335216807,2.2049003446085953,1.931289745899991
2022-06-02,linear,0.608724102048364,0.8382472388811031,0.7345337621242087
2022-06-22,linear,-10.705554814496937,4.109842829373158,3.2883711524241015
2022-07-06,linear,0.6448385701539274,0.7478886857680218,0.6837731025055213
2022-07-21,linear,-1.1368671737852143,1.4496533396938254,1.1791160307626039
2022-08-03,linear,-0.3235171704069848,1.307402984041204,1.082782061473897
2022-08-24,linear,-17.13358054669883,5.831527497035967,4.9351468924509545
2022-09-08,linear,-1.4340205501200138,1.7800601957230515,1.7311688564174215
2022-10-13,linear,-4.0447548141046985,3.3808350589698657,3.0846493478818724
2022-11-03,linear,-1.4857439716622927,3.139791066217558,2.6988572108411293
2022-11-16,linear,0.37790714635089817,1.8862190499358387,1.3953275125104507
2022-11-29,linear,-0.5455172296184192,2.0031558191850833,1.8960737231721403
2022-12-08,linear,0.4110410843332467,1.6633032583993208,1.4707120058484635
2022-12-14,linear,-3.6510997346537284,3.066072033458329,2.739022085076152
2023-01-13,linear,-15.420065184115629,10.579576701578077,9.624588976145546
2023-01-26,linear,-0.4728712744708625,5.601887114774533,4.443988250456514
2023-02-09,linear,-1.418013198209724,4.997385390346559,4.381237021590467
2023-03-01,linear,-0.01254048455565382,2.081878826745883,1.8073638026210421
__mean__,linear,-2.6733878866579137,2.8454945205843734,2.463173097284103
