fold_date,model,r2,rmse,mae
2022-04-06,xgb,-0.5945668759780107,2.1658024169286625,1.9220250776394892
2022-04-20,xgb,0.6319051066669108,1.0018194151344944,0.8040457481576335
2022-05-05,xgb,0.08743115423352654,1.4885499719732262,1.1243283152428223
2022-05-18,xgb,-6.770094206184767,3.560908888859207,3.170337151721558
2022-06-02,xgb,-4.291361713309461,3.0825796601156057,2.728096787171448
2022-06-22,xgb,-2.7770126984962626,2.3345513698569706,1.9759512531301675
2022-07-06,xgb,0.503518119054684,0.884251422392956,0.79683149671698
2022-07-21,xgb,-3.3204890510222853,2.061303074702378,1.775758326766215
2022-08-03,xgb,-0.08050895928100066,1.1812963662841678,0.8789669225082329
2022-08-24,xgb,0.07227326298972803,1.319017572590751,1.1505287337782388
2022-09-08,xgb,0.7623753010331459,0.556183830106619,0.49144175046146066
2022-10-13,xgb,-0.12308390043929629,1.5951813094337988,1.472270132514364
2022-11-03,xgb,-0.053210990453884666,2.043761638584993,1.8675787905439456
2022-11-16,xgb,-0.028557277240002232,2.4253742430803933,1.9413964930905354
2022-11-29,xgb,-1.871694081503796,2.730529632988333,2.1776998986547444
2022-12-08,xgb,0.424178821653441,1.644647218964339,1.493883068197998
2022-12-14,xgb,-2.8545708093913955,2.7912101889266427,2.189080413578857
2023-01-13,xgb,-5.698789340997438,6.757390445584794,6.3579634876856534
2023-01-26,xgb,-0.9546746819489802,6.453409154071754,5.15350153299585
2023-02-09,xgb,-1.469767471719051,5.050583348077722,4.225871040057495
2023-03-01,xgb,-0.4563839625064112,2.4968197670003005,2.2269896848841957
__mean__,xgb,-1.3744325835638382,2.5535795683646723,2.186883147880851
