date,model,r2,rmse,mae
2022-04-06,ridge,0.41762616020172094,3.9003836531169904,3.1777528296672872
2022-04-20,ridge,0.5210587287670218,3.634962137180545,3.3990215231782304
2022-05-05,ridge,0.2542228675886713,3.2185157231385646,2.817928510272097
2022-05-18,ridge,0.3099182791958498,2.4979250909263158,1.993147888836318
2022-06-02,ridge,0.3056387456029217,3.8540329873203243,3.365381561288198
2022-06-22,ridge,-29.102555239225627,18.207921680626843,14.94905232362502
2022-07-06,ridge,0.28210604103410575,3.474403924990939,2.7824880752656895
2022-07-21,ridge,-0.9200982711200532,4.626553709984315,3.128175983836375
2022-08-03,ridge,-0.21351591271448966,4.010268351832339,3.1504167468220405
2022-08-24,ridge,-7.8894954169767715,12.120998941273948,10.382979797598631
2022-09-08,ridge,-0.28857389055176963,4.041673224004257,3.4677176349576926
2022-10-13,ridge,-2.9596314326852626,8.367066823956057,7.554297709741667
2022-11-03,ridge,-1.2343130349887472,6.360121908987914,4.622055508844992
2022-11-16,ridge,0.4478653617370819,4.137620439042427,4.0159469917300274
2022-11-29,ridge,-1.0667034996578137,8.842892025863206,7.689186254465049
2022-12-08,ridge,0.5673749721295201,3.304987639743188,2.715439142961912
2022-12-14,ridge,-0.13589232675766216,4.46212925106533,3.9265137733414046
2023-01-13,ridge,-1.6234570444038505,5.332108041525847,4.428738090243829
2023-01-26,ridge,0.5974520664846782,3.1710563513795345,2.973577216293181
2023-02-09,ridge,-0.263342626106875,6.191647561330166,5.7511674103403045
2023-03-01,ridge,-0.36489776711604116,6.800931063229791,5.1628112784253775
__mean__,ridge,-2.017105392360161,5.74086669192947,4.831133154844538
