date,model,r2,rmse,mae
2022-04-06,ridge,0.4250375737276274,3.8754856285257353,3.143594555914907
2022-04-20,ridge,0.5042901572532081,3.698047892723112,3.4095613051949836
2022-05-05,ridge,0.28464751020403967,3.1521810245051545,2.719982987348943
2022-05-18,ridge,0.2793129287483652,2.552716079858179,2.009259254498998
2022-06-02,ridge,0.23521402298621108,4.044758963405908,3.470121194101097
2022-06-22,ridge,-22.687292930368415,16.151631999958827,13.475866128091747
2022-07-06,ridge,0.18491600264841912,3.70212723814481,2.814234810910502
2022-07-21,ridge,-0.569082469990192,4.182334507667792,2.9154233856932557
2022-08-03,ridge,-0.17273187350350905,3.942303554640952,3.112741237132399
2022-08-24,ridge,-5.903270350336136,10.681378358609384,9.05362817794073
2022-09-08,ridge,-0.29554030541546794,4.052583743087894,3.475550911871437
2022-10-13,ridge,-1.2954888342407362,6.370645634550014,5.517029905527703
2022-11-03,ridge,-0.6624748557551119,5.486191631021988,3.9945697338081474
2022-11-16,ridge,0.34376588788552676,4.510841348763102,4.371059746491759
2022-11-29,ridge,-0.6255294960382389,7.842466314202526,6.918181888418779
2022-12-08,ridge,0.47829416645911094,3.629333403887443,3.1038804794083203
2022-12-14,ridge,0.05232037726803129,4.075719941603076,3.461940602612488
2023-01-13,ridge,-1.9088519023719739,5.614651013311157,4.661947807244868
2023-01-26,ridge,0.484652767494569,3.5879396794233074,3.3288817028908526
2023-02-09,ridge,-0.19091632844820627,6.011547425650912,5.560448950839987
2023-03-01,ridge,-0.20799449341671572,6.398096533164176,4.763722011300387
__mean__,ridge,-1.4879391640575996,5.40776104365264,4.5372203227258225
