fold_date,model,r2,rmse,mae
2022-04-06,linear,0.3583233993027446,4.094157067070901,3.3381127997160958
2022-04-20,linear,0.3751090396210869,4.152033809935573,3.732446184074897
2022-05-05,linear,0.09903165043492745,3.5375767521253,3.0399678588233328
2022-05-18,linear,0.4255915298195371,2.278975026827586,1.8012937175139598
2022-06-02,linear,0.3067361420777247,3.850986248617332,3.3789479727102054
2022-06-22,linear,-23.725012134720245,16.501634074168496,13.902993198755851
2022-07-06,linear,0.21278374655590837,3.638288918999216,3.0080284036227303
2022-07-21,linear,-1.3270405279326103,5.093283537325149,3.495784317660892
2022-08-03,linear,0.030425275664047624,3.584605277479345,3.0224974324429628
2022-08-24,linear,-8.728402064217907,12.680039712746096,11.07868004919205
2022-09-08,linear,-0.4104685600348492,4.228518534230556,3.640872906504952
2022-10-13,linear,-5.197486564113382,10.467757496078278,9.821915572905475
2022-11-03,linear,-1.8004261367338237,7.120418038212943,5.137434049422756
2022-11-16,linear,0.5102885441637312,3.8967117723601556,3.78421130263219
2022-11-29,linear,-1.989107636510591,10.634718821625288,8.382974691992809
2022-12-08,linear,0.7361291887013128,2.5811289128708115,1.939513723342301
2022-12-14,linear,-0.19685362827384179,4.580301678507132,4.116681786155338
2023-01-13,linear,-1.1380739379190423,4.8136368343253375,4.199700322863628
2023-01-26,linear,0.6512346109949008,2.951629544477128,2.704041647389675
2023-02-09,linear,-0.4245824076523983,6.574904379758613,6.009154870232944
2023-03-01,linear,-0.2589151339012725,6.531554248104917,4.942914691963593
__mean__,linear,-1.9757483621273355,5.894898127897435,4.975150833329459
