date,model,r2,rmse,mae
2022-04-06,ridge,0.2968638482457774,1.4381930270931427,1.2505072301966218
2022-04-20,ridge,-0.01737396848071815,1.6655200237620824,1.2413255504194485
2022-05-05,ridge,-0.3238580258002042,1.7928803446376145,1.4024225443944194
2022-05-18,ridge,-2.9431757224768824,2.536709791373683,2.089889711766021
2022-06-02,ridge,-1.005457755976352,1.8977427557917363,1.592351158058732
2022-06-22,ridge,-14.263648669942574,4.693084704255674,4.080694864814135
2022-07-06,ridge,0.012359801907346646,1.2471636496699563,0.8315049923853921
2022-07-21,ridge,-1.6739923425210845,1.6216438383513772,1.4080722553819645
2022-08-03,ridge,-0.4086020626343634,1.3487729327303557,1.0653341718956286
2022-08-24,ridge,-4.349466328788502,3.167347939072911,2.58607560487943
2022-09-08,ridge,-1.142990051981689,1.6702544832673338,1.4061787493626372
2022-10-13,ridge,0.029940899420334732,1.4825284925631055,1.137731446271572
2022-11-03,ridge,0.015906324032817665,1.975562493765494,1.3400099061415787
2022-11-16,ridge,0.16219443454762683,2.188951509570761,1.8123332968498385
2022-11-29,ridge,-0.012998771879711102,1.621743877118621,1.592744603472157
2022-12-08,ridge,-0.06471752227356253,2.2363827757686745,2.051658208728065
2022-12-14,ridge,-1.2255276352267575,2.1209040597521485,1.6136176769762118
2023-01-13,ridge,-9.791925114451107,8.576899369718019,7.92010795117932
2023-01-26,ridge,-0.6048726048496276,5.847527040199297,4.731708287400104
2023-02-09,ridge,-1.435104164031852,5.015015515426067,4.283127994311836
2023-03-01,ridge,0.14627344162290246,1.9116511656808077,1.7643443776714574
__mean__,ridge,-1.838103428168485,2.6693561804556603,2.247701932502694
