fold_date,model,r2,rmse,mae
2022-04-06,gb,0.20996724824789204,4.54285574568381,3.6561864333180067
2022-04-20,gb,0.5502622656086258,3.522397985391341,3.3020228324675482
2022-05-05,gb,-0.0852459073252625,3.882533236152894,3.4226727347397046
2022-05-18,gb,-0.8143903584744778,4.050368279461669,3.3958373407940843
2022-06-02,gb,0.33100810270765435,3.7829719130850044,2.9950657153756466
2022-06-22,gb,-2.027398662273916,5.774222344558364,4.157368527489733
2022-07-06,gb,-0.1416492246472536,4.381436285517471,3.323678663305442
2022-07-21,gb,-0.009902669526694163,3.355333091942762,3.0084630462453426
2022-08-03,gb,-0.004700600174577074,3.6489593727054874,3.1223000693657923
2022-08-24,gb,-0.06338190554597167,4.1922241084426455,3.5697058941736373
2022-09-08,gb,0.4261291046819957,2.697202994924963,2.036688330049242
2022-10-13,gb,0.06553146470525917,4.064697190426426,2.8914335063083643
2022-11-03,gb,-1.2597453578363913,6.3962168921719,4.511499105441208
2022-11-16,gb,-0.5749714114053979,6.988186538266242,6.582338003627231
2022-11-29,gb,-0.5866723825211697,7.748165096364281,7.106986399938158
2022-12-08,gb,0.46765032541884477,3.6661692963469514,2.7896782576097694
2022-12-14,gb,0.08139571049597694,4.012710216157898,3.580442338713404
2023-01-13,gb,-1.8943322883707183,5.600620640946943,5.4128848578012665
2023-01-26,gb,0.150107890351298,4.607624274561975,4.192340488050241
2023-02-09,gb,-0.24027301983414406,6.134854978719334,5.658730367789451
2023-03-01,gb,-0.24102597616812038,6.484981582325819,5.274928404414376
__mean__,gb,-0.2696017929469785,4.7397491459121035,3.9995833960484592
