heldout_date,model,r2,rmse,mae
2022-04-06,naive-last,-0.08024623209588211,1.7826202883137598,1.5968010335499996
2022-04-20,naive-last,-0.5504368994548821,2.0560638422443747,1.5092047010833334
2022-05-05,naive-last,-0.5093883792606753,1.9143930139337881,1.3295873417500002
2022-05-18,naive-last,-3.639053292297578,2.7514549117803044,2.4369236763333335
2022-06-02,naive-last,-2.6599125732977633,2.563692534973658,2.1855677032500003
2022-06-22,naive-last,-5.251893422696227,3.0035508928997836,2.7528792630833334
2022-07-06,naive-last,-3.886671441461279,2.7741544415014223,2.47407567825
2022-07-21,naive-last,-9.554647573628058,3.22179026480754,3.0653688012499996
2022-08-03,naive-last,-6.446686236436698,3.1011745382990394,2.8854459836666666
2022-08-24,naive-last,-3.4938586073437365,2.903021463768023,2.559724396583334
2022-09-08,naive-last,-5.259947404813001,2.8546831450033476,2.6167562458571427
2022-10-13,naive-last,-0.5279431066949043,1.8606193934697914,1.2915747893333334
2022-11-03,naive-last,-0.004981790961002153,1.9964187887350575,1.47430981435
2022-11-16,naive-last,-0.028553560533884026,2.4253698610145467,1.8842383873333333
2022-11-29,naive-last,-0.37945672120008034,1.892482391366427,1.3436334753333334
2022-12-08,naive-last,-0.0002187279394783026,2.1675864576060038,1.7355623047777775
2022-12-14,naive-last,-1.445812856429522,2.223392515880832,1.7094663990833336
2023-01-13,naive-last,-2.6286722452530973,4.973415282931404,4.580748768
2023-01-26,naive-last,-0.3046249554675853,5.272235459402425,4.40562182175
2023-02-09,naive-last,-0.5665257285622205,4.022372393661959,3.6333326125625
2023-03-01,naive-last,-1.3669359222194797,3.1830429620239133,2.4189301534375005
__mean__,naive-last,-2.31364131800224,2.8068349925532097,2.375702540505631
