target,model,r2,rmse,mae,file
CP,gb,-1.4286647728696422,2.5143426937697635,2.143247637888046,exp01_metrics_CP_gb.csv
CP,linear,-2.6733878866579137,2.8454945205843734,2.463173097284103,exp01_metrics_CP_linear.csv
CP,naive,-2.31364131800224,2.8068349925532097,2.375702540505631,exp01_metrics_CP_naive.csv
CP,xgb,-1.3744325835638382,2.5535795683646723,2.186883147880851,exp01_metrics_CP_xgb.csv
TDN,gb,-0.2696017929469785,4.7397491459121035,3.9995833960484592,exp01_metrics_TDN_gb.csv
TDN,linear,-1.9757483621273355,5.894898127897435,4.975150833329459,exp01_metrics_TDN_linear.csv
TDN,naive,-0.5324151129015978,5.328042627757625,4.470812272399629,exp01_metrics_TDN_naive.csv
TDN,xgb,-0.24835055548394536,4.7250272199625485,3.9785823065716426,exp01_metrics_TDN_xgb.csv
