date,model,r2,rmse,mae
2022-04-06,ridge,0.5914401687622425,1.0962896087544403,0.8920767367237973
2022-04-20,ridge,0.750414312931389,0.824934346403113,0.7021797026987295
2022-05-05,ridge,-0.18082648394425083,1.693259973311429,1.4517684934411208
2022-05-18,ridge,-1.9981369776012654,2.211940573868834,1.9278389216750071
2022-06-02,ridge,0.2827618832900787,1.1349121983190307,0.828134312194408
2022-06-22,ridge,-14.639462968678288,4.750508836053637,4.364116436807758
2022-07-06,ridge,0.7346243122590568,0.6464793120934602,0.4712610694484217
2022-07-21,ridge,-0.25246198275142406,1.1098330987300886,1.043082840526586
2022-08-03,ridge,0.25342295744523924,0.9819333205886185,0.9384615870822766
2022-08-24,ridge,-9.297246328960496,4.39441527781859,3.5416520335656934
2022-09-08,ridge,-1.2746887495202013,1.7208125251805009,1.6387950555245685
2022-10-13,ridge,0.1517316128994981,1.3863426769915028,1.1555057275618932
2022-11-03,ridge,-0.16028424976532984,2.145135600562889,1.7067988973962234
2022-11-16,ridge,0.342592412932088,1.9390181598871625,1.4652477592993447
2022-11-29,ridge,-1.2625128872828677,2.423669169053398,2.22129174215716
2022-12-08,ridge,0.28050640990525977,1.838410122550404,1.624091273954977
2022-12-14,ridge,-2.7140203599694748,2.7398492483319354,2.3034193670502843
2023-01-13,ridge,-9.75346360844697,8.561602056934495,7.93441526523261
2023-01-26,ridge,-0.49438984397618446,5.64266036462688,4.494975609062186
2023-02-09,ridge,-1.3927156137306507,4.971174991502633,4.329864198352986
2023-03-01,ridge,0.15642840301701522,1.900247738266071,1.70159845802268
__mean__,ridge,-1.8988708371993113,2.5768299618966246,2.2255512137037483
