heldout_date,r2,rmse,mae
2022-04-06,0.35940213608823923,1.5939155041347992,1.0213237519065528
2022-04-20,0.49835129897255726,1.1036476572963423,0.7881001935926393
2022-05-05,-0.11889730671558452,1.814230981744919,1.4895514905744376
2022-05-18,-0.6004748795556574,1.4377027813693481,1.3268735988256954
2022-06-02,-4.653957676464572,6.208077497206539,5.879497658957544
2022-06-22,0.5192266748463155,0.8701502455908708,0.6943902911910588
2022-07-06,0.10499149789766116,1.2677807805756713,1.1344157566034307
2022-08-03,-0.7412801949946417,2.7301315902462946,2.407464254865812
2022-08-24,0.42037584317001975,1.082375033914202,0.813300893641145
2022-11-03,0.4979047276622266,1.1417496143259085,0.8263956550399101
2022-11-16,0.16458721235061124,2.185823445102377,1.680225982195002
2022-11-29,0.09816370084823856,1.3004821656326921,1.073909119753192
2022-12-14,-0.7738060563654718,1.59986110018899,1.2889307869446387
2023-01-13,-0.435879360465689,1.5307585577963658,1.373842792776011
2023-03-01,0.5023988917243907,1.1647969298852552,0.7481505671289055
__mean__,-0.277259566066757,1.8020989256673718,1.5030915195997316
