heldout_date,model,r2,rmse,mae
2022-04-06,mlp,0.6513502329092455,1.012726454104275,0.8526814239550096
2022-04-20,mlp,0.3425951510658938,1.3388317387591064,0.9744252234934961
2022-05-05,mlp,-0.08786016037995648,1.6252386279632833,1.3203206649323254
2022-05-18,mlp,-0.5029699333984354,1.5661121755511191,1.2627221868270564
2022-06-02,mlp,0.25529476176816335,1.1564391545032497,0.8849502283985529
2022-06-22,mlp,-7.64423483899591,3.5317706297347313,3.4091539123503236
2022-07-06,mlp,0.8192228220526699,0.5335754834328581,0.41154959334716157
2022-07-21,mlp,-0.28695940247926277,1.125013723454578,1.0724103651470926
2022-08-03,mlp,0.23866146237050823,0.9915933115121591,0.9182390701418073
2022-08-24,mlp,-0.7408110639777654,1.806826135869318,1.4999666208765081
2022-09-08,mlp,0.749483724147476,0.5710715728214734,0.542057471830109
2022-10-13,mlp,0.18244822233061053,1.3610108430590908,1.2912428997190921
2022-11-03,mlp,0.10522628207522067,1.8837755750263065,1.7560189920476539
2022-11-16,mlp,0.47493223732954293,1.7328947979493057,1.3550845768359003
2022-11-29,mlp,0.7114242766624945,0.8655809783137238,0.8250729055708529
2022-12-08,mlp,0.6537422113792528,1.2753480238855994,1.0964736586426262
2022-12-14,mlp,-0.543223075802495,1.7661146052343946,1.5119338246383371
2023-01-13,mlp,-2.6333476826924733,4.976618301156667,4.5541889738908745
2023-01-26,mlp,-0.12432160666809056,4.894374932255639,3.9242352901483577
2023-02-09,mlp,-0.7333347979916784,4.2311141018941205,3.6326208933985606
2023-03-01,mlp,-0.4639340247650192,2.5032833015733575,2.2501231960464056
