heldout_date,r2,rmse,mae
2022-04-06,0.19336126398786802,3.821492111083579,3.309373071746093
2022-04-20,0.4491097687479849,3.7934899173154,3.21009326375586
2022-05-18,0.10836634479801965,3.43750963035115,3.0291313536952043
2022-06-02,0.04203607093738293,3.222081639656341,2.334668298779297
2022-06-22,-0.9445551192202069,5.718212447048608,4.779655209221192
2022-07-06,0.6996266362745136,2.534856607169746,2.26627301232666
2022-08-03,-0.2628329737703181,6.541709700480953,4.752921884915365
2022-08-24,0.8251170718828897,1.750843270255772,1.4575902007161456
2022-11-03,0.27636685330620714,5.232562936880517,4.4082175809448225
2022-11-29,-0.4093988434163762,4.8263277779638845,4.064650979514162
2022-12-14,-0.921054090393749,4.599689250873926,3.254290674930014
2023-01-13,-0.24018178739510354,3.348665926635599,2.9277752542797852
2023-03-01,0.6140939781395991,3.26286825014581,2.980254111003418
__mean__,0.03308116722143933,4.00694688198933,3.290376530448309
