heldout_date,r2,rmse,mae
2022-04-06,-0.2397066724730923,1.9096638821239484,1.5142464463816896
2022-04-20,0.553668243613063,1.0410210078525923,0.7452803902763367
2022-05-05,0.1413330749824967,1.8453762175399244,1.1225398492433105
2022-05-18,-1.6534066806641938,3.5304563569238914,3.4104313299318303
2022-06-02,-0.8040483044375746,1.5264014251272924,1.4345912758765191
2022-06-22,0.6817587688134326,0.8491456215250336,0.6553052096099583
2022-07-06,-0.19826558601649458,3.5179531592466473,3.153740209147247
2022-07-21,-3.750387042927568,5.6904334807394905,5.301393389881584
2022-08-03,0.5901238580394562,0.8579399732698523,0.7210228772658538
2022-08-24,0.14906789000749354,1.1576346602794008,0.9408825097531891
2022-09-08,0.6188590625482021,0.7043935451445632,0.579935771498605
2022-10-13,0.2841240177370151,1.1586691421490547,1.0497517093871458
2022-11-03,0.5989729648114124,1.5144374697991227,1.2333937331056009
2022-11-16,-0.029316477707493904,1.0061201785689426,0.9317049763094483
2022-11-29,0.3934425549003131,1.2549134568289877,1.0809972840723572
2022-12-08,-2.188225655990252,2.144883648153384,1.7302421616609294
2022-12-14,-0.5763923712082648,1.784993709385135,1.5340602819967444
2023-01-13,-0.328905293699028,1.4726337020031586,1.2283649919562378
2023-01-26,-0.08892560349229428,4.816716233730358,4.068356263746012
2023-02-09,0.3952701943058373,1.2840745398667024,1.1010798839427183
2023-03-01,-0.09070018387119383,2.1607371710866587,1.799177344902893
__mean__,-0.26388853536803464,1.9632665991116258,1.6826903757117242
