heldout_date,r2,rmse,mae
2022-04-06,0.3446432079442069,4.137569490840037,3.325573031425293
2022-04-20,0.48708240063307195,2.669161821613571,2.3361575458759765
2022-05-05,0.2967391236786241,3.5682202972655332,3.118117450070312
2022-05-18,0.8224918609729027,2.1170111965427947,1.549424949224176
2022-06-02,0.024621561034681827,3.59531769913647,3.29760932339464
2022-06-22,0.33678279767832153,3.424315306205103,2.719148525412869
2022-07-06,0.06089661708127003,5.338292363739813,3.7912082382275396
2022-07-21,0.28340126137705046,2.7867626524247564,2.2182767766613773
2022-08-03,0.5887301443991401,2.9661023115983762,2.092613454240112
2022-08-24,-0.6038522058428104,5.193167499374529,4.1567738703045665
2022-09-08,0.44526231587394405,2.6518586292334962,2.2856296800571982
2022-10-13,0.05727568836583474,3.947227989162514,3.0409636168432628
2022-11-03,0.37898782508176876,4.388117105552331,4.050392255001627
2022-11-16,0.09058389830530755,3.184030356742993,2.579455285379231
2022-11-29,0.18475828114538273,5.553904819741491,3.872749071998696
2022-12-08,-0.9510146663728765,4.6354186387670815,4.002670787692872
2022-12-14,0.7537003141847152,2.077808373047067,1.6751106873502604
2023-01-13,-0.8627454251910549,4.103986289569049,3.7222120269441734
2023-01-26,-0.2656354224977495,5.622759003270158,4.373168818639322
2023-02-09,0.4379712464062814,3.937658310162005,3.5505732373754886
2023-03-01,-0.16802601890729174,6.2913604759530015,4.411962653856608
__mean__,0.1306026097786057,3.9138119347591505,3.1509424421893146
