target,model,fold,n_train,n_test,R2,RMSE,MAE
TDN_based_ADF,XNet_full_KFold,1,249,63,0.6279357671737671,3.093792385234829,2.422076463699341
TDN_based_ADF,XNet_full_KFold,2,249,63,0.6482253074645996,3.1729612698407883,2.344417095184326
TDN_based_ADF,XNet_full_KFold,3,250,62,0.8427505493164062,2.15114442396685,1.6909841299057007
TDN_based_ADF,XNet_full_KFold,4,250,62,0.7548158168792725,2.6981031041674024,2.0140504837036133
TDN_based_ADF,XNet_full_KFold,5,250,62,0.5901821851730347,3.387234728797399,2.8817336559295654
TDN_based_ADF,XNet_full_KFold,GLOBAL,312,312,0.6982304479769571,2.9345780443787888,2.2713741767100797
