target,model,y_true,y_pred
CP,XNet_full_KFold,4.647188663482666,4.291778087615967
CP,XNet_full_KFold,4.908830642700195,5.404329776763916
CP,XNet_full_KFold,5.785925388336182,4.442741870880127
CP,XNet_full_KFold,4.724164009094238,4.598669528961182
CP,XNet_full_KFold,3.905531167984009,4.039520740509033
CP,XNet_full_KFold,2.247466802597046,2.9174163341522217
CP,XNet_full_KFold,2.420348882675171,2.7889323234558105
CP,XNet_full_KFold,6.268929481506348,6.268454074859619
CP,XNet_full_KFold,6.353050708770752,6.292107582092285
CP,XNet_full_KFold,3.0469467639923096,2.633103370666504
CP,XNet_full_KFold,2.534837245941162,2.9296746253967285
CP,XNet_full_KFold,6.014558792114258,6.48733377456665
CP,XNet_full_KFold,2.7059454917907715,2.5296430587768555
CP,XNet_full_KFold,2.189040184020996,1.738154411315918
CP,XNet_full_KFold,2.6886684894561768,2.4519691467285156
CP,XNet_full_KFold,2.6891112327575684,3.2332091331481934
CP,XNet_full_KFold,4.708278656005859,4.5362372398376465
CP,XNet_full_KFold,4.795468807220459,4.453162670135498
CP,XNet_full_KFold,5.088014602661133,5.040459156036377
CP,XNet_full_KFold,2.3548688888549805,2.4798543453216553
CP,XNet_full_KFold,6.512036323547363,7.36936616897583
CP,XNet_full_KFold,7.962381839752197,7.495786666870117
CP,XNet_full_KFold,7.9725213050842285,9.019000053405762
CP,XNet_full_KFold,7.8918137550354,9.269235610961914
CP,XNet_full_KFold,4.857827186584473,4.494840145111084
CP,XNet_full_KFold,7.800289154052734,7.923820972442627
CP,XNet_full_KFold,3.908210515975952,4.918650150299072
CP,XNet_full_KFold,3.9970333576202393,4.1866374015808105
CP,XNet_full_KFold,5.014366626739502,6.128696441650391
CP,XNet_full_KFold,2.6286561489105225,2.7105066776275635
CP,XNet_full_KFold,2.1438746452331543,3.6881210803985596
CP,XNet_full_KFold,4.770016670227051,4.856573581695557
CP,XNet_full_KFold,5.525871276855469,7.022198677062988
CP,XNet_full_KFold,5.51760721206665,7.062980651855469
CP,XNet_full_KFold,6.596545219421387,6.390913486480713
CP,XNet_full_KFold,6.774830341339111,6.48436975479126
CP,XNet_full_KFold,6.395988941192627,5.924015522003174
CP,XNet_full_KFold,3.095733165740967,3.026154041290283
CP,XNet_full_KFold,11.28527545928955,11.249714851379395
CP,XNet_full_KFold,6.529754161834717,6.4884772300720215
CP,XNet_full_KFold,6.1725053787231445,5.068231582641602
CP,XNet_full_KFold,6.078251838684082,5.215075969696045
CP,XNet_full_KFold,10.270047187805176,9.940662384033203
CP,XNet_full_KFold,3.765958070755005,2.7145302295684814
CP,XNet_full_KFold,3.2253658771514893,2.033057928085327
CP,XNet_full_KFold,6.439666748046875,5.878871440887451
CP,XNet_full_KFold,3.366581439971924,3.1777634620666504
CP,XNet_full_KFold,7.284470081329346,7.648273468017578
CP,XNet_full_KFold,9.040313720703125,8.644530296325684
CP,XNet_full_KFold,7.1168212890625,6.961505889892578
CP,XNet_full_KFold,3.102356195449829,3.1134517192840576
CP,XNet_full_KFold,3.189626932144165,3.283984422683716
CP,XNet_full_KFold,6.765042781829834,6.624203681945801
CP,XNet_full_KFold,3.862433671951294,4.895108699798584
CP,XNet_full_KFold,11.628894805908203,13.335275650024414
CP,XNet_full_KFold,11.854698181152344,12.664813995361328
CP,XNet_full_KFold,13.509004592895508,13.460391998291016
CP,XNet_full_KFold,11.097978591918945,11.093122482299805
CP,XNet_full_KFold,13.889847755432129,10.946357727050781
CP,XNet_full_KFold,10.756933212280273,8.464299201965332
CP,XNet_full_KFold,7.4195966720581055,7.933613300323486
