target,model,y_true,y_pred
CP,KAN_full_KFold,4.647188663482666,4.729589504372511
CP,KAN_full_KFold,4.908830642700195,4.572431227827454
CP,KAN_full_KFold,5.785925388336182,5.285078985905862
CP,KAN_full_KFold,4.724164009094238,4.814664879163293
CP,KAN_full_KFold,3.905531167984009,4.037731955554225
CP,KAN_full_KFold,2.247466802597046,2.697497389842292
CP,KAN_full_KFold,2.420348882675171,2.710373191900816
CP,KAN_full_KFold,6.268929481506348,7.114041872072532
CP,KAN_full_KFold,6.353050708770752,6.401116269874525
CP,KAN_full_KFold,3.0469467639923096,3.028377610404633
CP,KAN_full_KFold,2.534837245941162,2.70900317239842
CP,KAN_full_KFold,6.014558792114258,6.116784651706961
CP,KAN_full_KFold,2.7059454917907715,2.6845746107212367
CP,KAN_full_KFold,2.189040184020996,2.1706857472732533
CP,KAN_full_KFold,2.6886684894561768,2.866885098061228
CP,KAN_full_KFold,2.6891112327575684,2.847698200810706
CP,KAN_full_KFold,4.708278656005859,2.4781043762763266
CP,KAN_full_KFold,4.795468807220459,2.0367290204475106
CP,KAN_full_KFold,5.088014602661133,4.840856807014114
CP,KAN_full_KFold,2.3548688888549805,2.24421014765592
CP,KAN_full_KFold,6.512036323547363,8.35610554086281
CP,KAN_full_KFold,7.962381839752197,8.293220794447334
CP,KAN_full_KFold,7.9725213050842285,8.038810039628933
CP,KAN_full_KFold,7.8918137550354,8.302015621126595
CP,KAN_full_KFold,4.857827186584473,4.362419833844628
CP,KAN_full_KFold,7.800289154052734,8.178437178528585
CP,KAN_full_KFold,3.908210515975952,3.880696135634235
CP,KAN_full_KFold,3.9970333576202393,3.9384384649872177
CP,KAN_full_KFold,5.014366626739502,4.598069736327711
CP,KAN_full_KFold,2.6286561489105225,2.8597125569852673
CP,KAN_full_KFold,2.1438746452331543,2.4423727413941343
CP,KAN_full_KFold,4.770016670227051,4.758344530673202
CP,KAN_full_KFold,5.525871276855469,6.982043925847288
CP,KAN_full_KFold,5.51760721206665,6.910365369201129
CP,KAN_full_KFold,6.596545219421387,7.2816178065672785
CP,KAN_full_KFold,6.774830341339111,7.2409814404184445
CP,KAN_full_KFold,6.395988941192627,5.711817061422076
CP,KAN_full_KFold,3.095733165740967,2.6882073012051393
CP,KAN_full_KFold,11.28527545928955,11.452926414681375
CP,KAN_full_KFold,6.529754161834717,6.158766480397505
CP,KAN_full_KFold,6.1725053787231445,6.619087555861609
