target,model,fold,n_train,n_test,R2,RMSE,MAE
TDN_based_ADF,KAN_full_KFold,1,249,63,0.4324239762482637,3.8211511941300693,2.9143753913358226
TDN_based_ADF,KAN_full_KFold,2,249,63,0.579250351895471,3.47011844856888,2.241084105761637
TDN_based_ADF,KAN_full_KFold,3,250,62,0.6234114925807472,3.3289601040449464,2.467880520785904
TDN_based_ADF,KAN_full_KFold,4,250,62,0.6847251135693528,3.0595461329962292,2.1817817142674074
TDN_based_ADF,KAN_full_KFold,5,250,62,0.44237438971833687,3.9511294885503223,2.9054274677315286
TDN_based_ADF,KAN_full_KFold,GLOBAL,312,312,0.5604225506769802,3.5418132572174508,2.542338172723718
