target,model,fold,n_train,n_test,R2,RMSE,MAE
CP,KAN_full_KFold,1,249,63,0.9423239462896724,0.710133084326173,0.4650842339314766
CP,KAN_full_KFold,2,249,63,0.8914543200825238,0.7828617243759686,0.5886712197959301
CP,KAN_full_KFold,3,250,62,0.8990607490394665,0.7932039296680682,0.4911472403529541
CP,KAN_full_KFold,4,250,62,0.7785509093548755,1.3427285756897303,0.6749721914643769
CP,KAN_full_KFold,5,250,62,0.6906412132685051,1.6947965371053935,0.8672232820676224
CP,KAN_full_KFold,GLOBAL,312,312,0.8321539755540832,1.1312230970140524,0.6168392366849158
