index,date,y_true,y_pred
88,2022-04-06,55.8207313,56.515314436068294
89,2022-04-06,54.38994674,56.76960548034867
90,2022-04-06,54.53465595,56.05577407891426
91,2022-04-06,53.78200751,56.094065863848726
92,2022-04-06,60.28727268,57.199472621281814
93,2022-04-06,60.67244732,56.8440087386949
94,2022-04-06,58.81055681,56.94623975996534
95,2022-04-06,57.32815206,56.97891973509152
96,2022-04-06,56.37384648,57.01616528827383
97,2022-04-06,57.11351203,57.79843310522379
98,2022-04-06,59.92512136,57.2006140634678
99,2022-04-06,60.01880931,58.02423765447774
100,2022-04-06,53.65869286,55.6184948677479
101,2022-04-06,53.8609648,56.38221631605969
102,2022-04-06,48.65361454,50.017076523734566
103,2022-04-06,50.59093738,50.24366437312382
104,2022-04-06,53.16082172,56.799495141587194
105,2022-04-06,55.70141032,57.16416182454497
106,2022-04-06,42.25234896,47.08152704935627
107,2022-04-06,42.33528657,46.25007610082669
76,2022-04-20,58.7107711,55.23807527958673
77,2022-04-20,61.04519871,56.104123740689715
78,2022-04-20,60.18924475,56.20921233299775
79,2022-04-20,59.31672753,55.93077745427268
80,2022-04-20,52.63143048,54.560830445289795
81,2022-04-20,52.44791886,53.70413860920071
82,2022-04-20,54.6374969,55.662140383196274
83,2022-04-20,55.23320331,55.94700720440274
84,2022-04-20,44.98223209,48.59523581247107
85,2022-04-20,45.53597896,48.3919662562286
86,2022-04-20,48.65100318,50.64337462834064
87,2022-04-20,51.62994532,50.38185311589744
16,2022-05-05,59.16877402,54.58174221846757
17,2022-05-05,54.298515,54.43473861932048
18,2022-05-05,58.96565064,53.99070570713316
19,2022-05-05,59.35026089,53.75951420093575
20,2022-05-05,59.47771711,54.34902447610108
21,2022-05-05,54.46806161,54.615730429670805
22,2022-05-05,54.93019367,53.21565098915924
23,2022-05-05,54.12077782,53.560546031217335
24,2022-05-05,54.04713363,54.790847861799826
25,2022-05-05,51.42073296,53.764952900692904
26,2022-05-05,56.48945805,54.759607495085895
27,2022-05-05,53.17267835,54.049663553410895
28,2022-05-05,58.73142471,55.441305206760944
29,2022-05-05,60.29755294,55.37891855928729
30,2022-05-05,58.56210858,53.68924258618889
31,2022-05-05,55.20215491,54.42349870134449
32,2022-05-05,52.27533421,47.19334778120759
33,2022-05-05,50.03009882,47.26392160312092
34,2022-05-05,47.95161896,47.72008257679775
35,2022-05-05,48.04153375,48.136582518503886
52,2022-05-18,55.91948154,53.85495770599356
53,2022-05-18,53.31943777,51.925212707021586
54,2022-05-18,50.14325176,50.12539855891577
55,2022-05-18,54.00406447,52.49281668413556
56,2022-05-18,54.0007637,50.61858821947597
57,2022-05-18,56.2033803,51.02996467111609
58,2022-05-18,51.09290674,51.64040214680676
59,2022-05-18,54.50627285,53.32557024806926
60,2022-05-18,51.26057131,45.82212857999294
61,2022-05-18,50.96179154,45.42366597140639
62,2022-05-18,46.73774633,44.1090043082275
63,2022-05-18,46.90717585,45.12978996534324
36,2022-06-02,52.16173204,58.22859409948637
37,2022-06-02,51.91894479,58.913676579050346
38,2022-06-02,52.29991626,58.157608405420646
39,2022-06-02,51.92080274,58.84336620683562
40,2022-06-02,56.89019404,58.67104901516894
41,2022-06-02,52.93481013,58.46817149485784
42,2022-06-02,57.95038309,59.567028478719735
43,2022-06-02,58.01814277,58.98288884120893
44,2022-06-02,56.78438928,58.617432723793016
45,2022-06-02,54.91068245,59.71769626377032
46,2022-06-02,56.80856683,58.03513724578664
47,2022-06-02,56.97572872,57.585873128287325
48,2022-06-02,47.06351554,51.980755188585405
49,2022-06-02,47.145599,51.92230345498504
50,2022-06-02,44.46956036,53.8176325871141
51,2022-06-02,43.74818053,52.464530984425124
64,2022-06-22,49.44313569,55.71297433177084
65,2022-06-22,47.8413243,55.16692834333014
66,2022-06-22,51.22156003,53.266094229330875
67,2022-06-22,51.47087982,52.89077252370955
68,2022-06-22,56.64865127,52.8413096455471
69,2022-06-22,54.67441186,52.22205879175071
70,2022-06-22,47.81167332,53.03877043466559
71,2022-06-22,47.90197734,53.20616145696543
72,2022-06-22,53.90830402,47.70313698892812
73,2022-06-22,50.53189181,47.54579854523921
74,2022-06-22,44.35558404,46.41781220483957
75,2022-06-22,48.45501216,48.00440751471683
0,2022-07-06,47.99895872,48.06853346659202
1,2022-07-06,52.44721853,50.55734372095037
2,2022-07-06,49.69773698,48.529680404570435
3,2022-07-06,50.62115786,50.25968702634644
4,2022-07-06,47.12037117,49.97340264384988
5,2022-07-06,54.54078847,49.35546163331434
6,2022-07-06,51.82397028,50.710142933745345
7,2022-07-06,44.13031441,50.4811211612041
8,2022-07-06,50.04360893,50.4897789661168
9,2022-07-06,47.45754752,48.32106160254886
10,2022-07-06,49.96751289,49.87908052233089
11,2022-07-06,51.15011768,50.221857198698764
12,2022-07-06,39.71977991,42.68223741281121
13,2022-07-06,39.94216274,43.00843010787631
14,2022-07-06,44.99006643,45.146170377397326
15,2022-07-06,45.6389018,46.20672697576361
108,2022-08-03,53.45224519,49.47231764907324
109,2022-08-03,53.1967557,48.99048131697934
110,2022-08-03,52.30018893,51.877805858624654
111,2022-08-03,52.86403073,51.66746356597331
112,2022-08-03,55.46456159,49.88367167308927
113,2022-08-03,53.11088562,48.79989178184483
114,2022-08-03,55.234959,50.79592016649891
115,2022-08-03,56.24841714,50.55515419426286
116,2022-08-03,56.89049791,50.46291766422679
117,2022-08-03,56.45272487,51.212142556680725
118,2022-08-03,53.14119991,49.70164940652493
119,2022-08-03,52.95361742,49.694345882890026
120,2022-08-03,54.66282246,51.41954771894455
