fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,-17.575587625648616,22.02813244837941,17.53796467936254
2,2022-04-20,178,12,-1.3543236429235979,8.05919830498861,7.091502995994202
3,2022-05-18,178,12,-0.5638590822499081,3.760347293625598,2.891610656843348
4,2022-06-02,174,16,-4.41699707567301,10.764701426253135,10.32186247683985
5,2022-06-22,178,12,-790.6828809107112,93.37579719905716,88.03768447784212
6,2022-07-06,174,16,-5.85426106212922,10.735702753494982,9.00956249471552
7,2022-08-03,172,18,-16.673489754549916,15.304243020793072,14.14276043430231
8,2022-08-24,178,12,-5.032739974624326,9.985209043897626,8.616132220240575
9,2022-11-03,170,20,-6.54088950874278,11.684354349345847,8.037756325897012
10,2022-11-29,178,12,-3.532732273925274,13.09589754816846,9.769068128874624
11,2022-12-14,178,12,-15.749462170799443,17.13460101783679,13.754693986702366
12,2023-01-13,174,16,-31.487688622407035,18.763824785644704,17.63697558253385
13,2023-03-01,178,12,-2.4307772068241498,10.7823784017944,8.878865121200091
