fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,-4.522700542886949,12.011082390427294,7.430350344808379
2,2022-04-20,210,12,0.14946697265541953,4.844002420043009,3.929036232745759
3,2022-05-05,202,20,-0.8191225091475902,5.026689709395992,3.6512857451780563
4,2022-05-18,210,12,-7.809608224095252,8.924983997026644,7.094773332409101
5,2022-06-02,206,16,-0.0995285159737922,4.849823533552005,3.8462704343090373
6,2022-06-22,210,12,-25.724687978466342,17.15595969692939,15.668886550955207
7,2022-07-06,206,16,-0.8972546338106597,5.648237744733504,4.450323150264561
8,2022-08-03,204,18,-0.20649178669151214,3.998645302592992,3.032309122969472
9,2022-08-24,210,12,-0.25924303787240355,4.561993239073353,4.183982595828301
10,2022-11-03,202,20,0.03176554854146929,4.186814275890732,3.3215864079353623
11,2022-11-16,210,12,-0.8741403789757427,7.62305776393488,7.364198434714095
12,2022-11-29,210,12,0.46878301013370316,4.483231995437445,3.658027122642114
13,2022-12-14,210,12,0.4651438200423592,3.0619075398548685,2.3661615316303695
14,2023-01-13,206,16,-293.77716476370466,56.520875526862326,42.57913669358561
15,2023-03-01,210,12,-2.2394767145742347,10.477453506601686,9.913983567930016
