fold,Date,R2,RMSE,MAE
1,2022-04-06,-0.14080162417505826,1.8319032381168419,1.5414716537371216
2,2022-04-20,0.8871039733814579,0.5548158715480188,0.5094366904851786
3,2022-05-05,0.7010014209038327,0.8520501592964491,0.6499704483303588
4,2022-05-18,0.6190464911511548,0.7884673400053026,0.612008403972229
5,2022-06-02,0.5477008299781001,0.9012462664084805,0.677596677379692
6,2022-06-22,0.7480537819936381,0.6029525468356045,0.496578294146464
7,2022-07-06,0.7171527818791826,0.6674212363447487,0.516520356938324
8,2022-08-03,0.12225234922474237,1.0647055546180684,0.9806833489991794
9,2022-08-24,0.6565849907145145,0.8025094980306865,0.6759755063536171
10,2022-11-03,0.6044866521911181,1.2524290264410995,0.8974256832977966
11,2022-11-16,0.7678938811136333,1.1521467931415295,0.8434971609565937
12,2022-11-29,0.9425971837030369,0.38605075633968966,0.29843828044804893
13,2022-12-14,0.8526289865228299,0.5457711350167164,0.438566137373057
14,2023-01-13,-1.3766257522063508,4.024957068867096,3.674296811402771
15,2023-03-01,-0.11413702788272406,2.1838286235356468,2.040933863584737
GLOBAL,,0.6252045425834976,1.5223669107404372,1.0284211241831644
