fold,date,r2,rmse,mae,n_test
1,2022-04-06,-177.82870483398438,68.3478758185377,68.30003356933594,20
2,2022-04-20,-18.292436599731445,23.07024900516152,22.924161911010742,12
3,2022-05-18,-1576.1243896484375,119.41587569158257,119.38336181640625,12
4,2022-06-02,-29214.892578125,790.5553032520875,790.5480346679688,16
5,2022-06-22,-267.91302490234375,54.42076019888918,53.89985275268555,12
6,2022-07-06,-932.62060546875,125.29547889389306,125.272216796875,16
7,2022-08-03,-14994.4697265625,445.79043212590375,445.78289794921875,18
8,2022-08-24,-23574.423828125,624.2082985670729,624.1201782226562,12
9,2022-11-03,-949.9412231445312,131.21099122691666,131.13491821289062,20
10,2022-11-29,-752.5536499023438,168.8543890086959,168.6433563232422,12
11,2022-12-14,-1950.06689453125,184.930973186619,184.85401916503906,12
12,2023-01-13,-13150.0078125,377.521357011759,377.480224609375,16
13,2023-03-01,-384.9624328613281,114.3643907306269,114.18852996826172,12
GLOBAL,,-4363.900054648551,342.930324064924,253.48294288233706,190
