fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170.0,20,0.4502190947532654,3.7896685243453763,2.6811201572418213
2,2022-04-20,178.0,12,0.5908441543579102,3.359720327681579,2.905386209487915
3,2022-05-18,178.0,12,-1.2668578624725342,4.5273203680506,3.954508066177368
4,2022-06-02,174.0,16,0.44950687885284424,3.4316156133479514,2.5061864852905273
5,2022-06-22,178.0,12,-3.1331396102905273,6.7468141172276175,6.038394927978516
6,2022-07-06,174.0,16,0.4226008653640747,3.115934115182195,2.5300486087799072
7,2022-08-03,172.0,18,0.30826783180236816,3.0277477364017042,2.5018975734710693
8,2022-08-24,178.0,12,-10.993904113769531,14.079267889409513,12.479804992675781
9,2022-11-03,170.0,20,0.2472706437110901,3.6915846362734284,3.0119807720184326
10,2022-11-29,178.0,12,-1.0924980640411377,8.897905476166454,8.079761505126953
11,2022-12-14,178.0,12,-2.1005659103393555,7.372148124030504,6.456479549407959
12,2023-01-13,174.0,16,-13.871536254882812,12.695210937093746,11.532676696777344
13,2023-03-01,178.0,12,-1.709517240524292,9.582178549367212,8.252310752868652
GLOBAL,,,190,-0.8866086662039756,7.129509473912663,5.2736762398167665
