heldout_date,fold,model,r2,rmse,mae,n_test
2022-04-06,1,mlp_fs,-1.2602782821265,7.683999970784225,6.811511154135204,20
2022-04-20,2,mlp_fs,-4.932110844599773,12.792734566690966,12.177738307131557,12
2022-05-18,3,mlp_fs,-1.0264441235134654,4.280519354596527,3.8156408013329206,12
2022-06-02,4,mlp_fs,-1.6015390513915402,7.459983428142549,6.620768529503694,16
2022-06-22,5,mlp_fs,0.13320026085294112,3.0897125834662478,2.347098133841149,12
2022-07-06,6,mlp_fs,-0.8289981938813578,5.545705408986133,5.059244413900069,16
2022-08-03,7,mlp_fs,-14.899604791092035,14.515896462163228,14.443333900270094,18
2022-08-24,8,mlp_fs,-0.5192600658093915,5.0109021171658705,4.5083459322362485,12
2022-11-03,9,mlp_fs,0.1651650280586895,3.887708977216029,3.3849123044592133,20
2022-11-29,10,mlp_fs,-0.08906002389635725,6.419203489644127,5.257606497946026,12
2022-12-14,11,mlp_fs,-4.84251028701869,10.119832073811462,9.301132249617348,12
2023-01-13,12,mlp_fs,-13.276389638256665,12.438590150069938,10.4804321662897,16
2023-03-01,13,mlp_fs,-0.4700389606745614,7.058017544769888,5.652158176111018,12
