fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.6770488023757935,2.904523110829517,2.1283371448516846,20
2,2022-04-20,0.025447428226470947,5.185150717565227,4.409476280212402,12
3,2022-05-05,-0.40989017486572266,4.425310828719959,3.8162999153137207,20
4,2022-05-18,0.07373815774917603,2.8939829524552425,2.3311607837677,12
5,2022-06-02,-5.698108673095703,11.970127434813051,11.590999603271484,16
6,2022-06-22,-3.800201892852783,7.270904657256352,6.661940097808838,12
7,2022-07-06,0.5483450889587402,2.755837140983794,2.1155507564544678,16
8,2022-08-03,-1843.011962890625,156.3264937758472,156.30885314941406,18
9,2022-08-24,-1071.5369873046875,133.1391937855829,132.94894409179688,12
10,2022-11-03,-15.317182540893555,17.187629615988538,16.89630889892578,20
11,2022-11-16,-732.7639770507812,150.83646333653874,150.82896423339844,12
12,2022-11-29,-1.2995624542236328,9.327770437278483,7.987398624420166,12
13,2022-12-14,-0.5152931213378906,5.153732702581045,4.158695220947266,12
14,2023-01-13,-17.332576751708984,14.095281885636302,13.006461143493652,16
15,2023-03-01,-0.5662556886672974,7.285336636925577,5.644703388214111,12
GLOBAL,,-153.9214196033457,65.09641259936942,33.682170455520215,222
