fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202.0,20,-0.4228343963623047,2.045854037219583,1.766160011291504
2,2022-04-20,210.0,12,0.20217245817184448,1.47490506270751,1.1426024436950684
3,2022-05-05,202.0,20,0.7652443051338196,0.7549856493388136,0.6933209300041199
4,2022-05-18,210.0,12,0.5548683404922485,0.8522989430874953,0.597816526889801
5,2022-06-02,206.0,16,0.03054201602935791,1.319456466263107,1.1483322381973267
6,2022-06-22,210.0,12,-9.442171096801758,3.8817234162151064,3.4442949295043945
7,2022-07-06,206.0,16,0.4365502595901489,0.9420016609995264,0.8818322420120239
8,2022-08-03,204.0,18,-1.0180437564849854,1.6143956803412438,1.5349767208099365
9,2022-08-24,210.0,12,-1.3282461166381836,2.0895606874232104,1.7857707738876343
10,2022-11-03,202.0,20,0.6933978796005249,1.102706963971718,0.9404616355895996
11,2022-11-16,210.0,12,0.34694862365722656,1.93258319996406,1.4789501428604126
12,2022-11-29,210.0,12,0.1888185739517212,1.4512318410074112,1.2856212854385376
13,2022-12-14,210.0,12,-1.9703218936920166,2.450226742119813,1.8978904485702515
14,2023-01-13,206.0,16,-7.298127174377441,7.520918855330564,7.100531578063965
15,2023-03-01,210.0,12,0.21721088886260986,1.830507991303394,1.4567166566848755
GLOBAL,,,222,-0.1391555154400761,2.6540780272983104,1.7963762817619082
