index,date,y_true,y_pred
88,2022-04-06,55.8207313,57.16558339465156
89,2022-04-06,54.38994674,57.42747429431571
90,2022-04-06,54.53465595,56.50454247437605
91,2022-04-06,53.78200751,56.546409170721994
92,2022-04-06,60.28727268,58.461099272888845
93,2022-04-06,60.67244732,58.09039970638724
94,2022-04-06,58.81055681,57.10812163000538
95,2022-04-06,57.32815206,57.058698449619705
96,2022-04-06,56.37384648,58.328998711284804
97,2022-04-06,57.11351203,59.14181928056842
98,2022-04-06,59.92512136,57.09394071098617
99,2022-04-06,60.01880931,57.957763617213395
100,2022-04-06,53.65869286,56.26678978997488
101,2022-04-06,53.8609648,57.10987231627038
102,2022-04-06,48.65361454,50.37282816361994
103,2022-04-06,50.59093738,50.60136978008624
104,2022-04-06,53.16082172,56.479923777503245
105,2022-04-06,55.70141032,56.77339819199025
106,2022-04-06,42.25234896,48.974280068891126
107,2022-04-06,42.33528657,47.66668277144944
76,2022-04-20,58.7107711,55.47670308882138
77,2022-04-20,61.04519871,56.38142126699143
78,2022-04-20,60.18924475,56.27817451160768
79,2022-04-20,59.31672753,55.984624354715656
80,2022-04-20,52.63143048,55.20528036843606
81,2022-04-20,52.44791886,54.26262513614685
82,2022-04-20,54.6374969,55.44512394905103
83,2022-04-20,55.23320331,55.77766658247283
84,2022-04-20,44.98223209,48.40332423230095
85,2022-04-20,45.53597896,48.19454037645316
86,2022-04-20,48.65100318,49.116230388579865
87,2022-04-20,51.62994532,48.84553657390964
16,2022-05-05,59.16877402,56.09635259411051
17,2022-05-05,54.298515,55.940056116932624
18,2022-05-05,58.96565064,55.49514561361846
19,2022-05-05,59.35026089,55.26008084430905
20,2022-05-05,59.47771711,55.22219232536404
21,2022-05-05,54.46806161,55.492927800924214
22,2022-05-05,54.93019367,54.354582698813466
23,2022-05-05,54.12077782,54.70654888087022
24,2022-05-05,54.04713363,56.147946343309734
25,2022-05-05,51.42073296,55.0935122269423
26,2022-05-05,56.48945805,56.146322036823314
27,2022-05-05,53.17267835,55.4249345390467
28,2022-05-05,58.73142471,56.38110261400759
29,2022-05-05,60.29755294,56.31931403096068
30,2022-05-05,58.56210858,54.93861608209031
31,2022-05-05,55.20215491,55.68376954325658
32,2022-05-05,52.27533421,48.003389682601394
33,2022-05-05,50.03009882,48.06767935397375
34,2022-05-05,47.95161896,47.228570271728486
35,2022-05-05,48.04153375,47.64836518286423
52,2022-05-18,55.91948154,57.14753060920029
53,2022-05-18,53.31943777,55.20000071141046
54,2022-05-18,50.14325176,54.02445038091623
55,2022-05-18,54.00406447,56.419063585149864
56,2022-05-18,54.0007637,53.478535734941936
57,2022-05-18,56.2033803,53.89366742042913
58,2022-05-18,51.09290674,55.18552761990282
59,2022-05-18,54.50627285,56.88966508135502
60,2022-05-18,51.26057131,48.40937468116025
61,2022-05-18,50.96179154,48.011937294099184
62,2022-05-18,46.73774633,47.52601672082987
63,2022-05-18,46.90717585,48.56940197840412
36,2022-06-02,52.16173204,54.29535342055589
37,2022-06-02,51.91894479,54.98451994894028
38,2022-06-02,52.29991626,53.8898535983728
39,2022-06-02,51.92080274,54.57681735935299
40,2022-06-02,56.89019404,54.84627846331769
41,2022-06-02,52.93481013,54.632351201552645
42,2022-06-02,57.95038309,55.84343091008508
43,2022-06-02,58.01814277,55.26130053310338
44,2022-06-02,56.78438928,55.844160033698536
45,2022-06-02,54.91068245,56.93952282237291
46,2022-06-02,56.80856683,55.08600864394367
47,2022-06-02,56.97572872,54.63954827844493
48,2022-06-02,47.06351554,49.18861272325738
49,2022-06-02,47.145599,49.129927772345134
50,2022-06-02,44.46956036,48.86170624897309
51,2022-06-02,43.74818053,47.50284762995556
64,2022-06-22,49.44313569,52.051679666790726
65,2022-06-22,47.8413243,51.512144756886066
66,2022-06-22,51.22156003,56.88722197524621
67,2022-06-22,51.47087982,56.521462438485166
68,2022-06-22,56.64865127,53.89670203557785
69,2022-06-22,54.67441186,53.275507911888354
70,2022-06-22,47.81167332,56.00651623653043
71,2022-06-22,47.90197734,56.17312138310133
72,2022-06-22,53.90830402,47.02101265478833
73,2022-06-22,50.53189181,46.87366843958708
74,2022-06-22,44.35558404,46.619011257572666
75,2022-06-22,48.45501216,48.19875072162669
0,2022-07-06,47.99895872,50.9777256260474
1,2022-07-06,52.44721853,53.373233848915056
2,2022-07-06,49.69773698,51.27509880733516
3,2022-07-06,50.62115786,52.9389573157923
4,2022-07-06,47.12037117,52.88456324327818
5,2022-07-06,54.54078847,52.950624569637995
6,2022-07-06,51.82397028,53.75863617998974
7,2022-07-06,44.13031441,53.54860698209132
8,2022-07-06,50.04360893,53.32045462278573
9,2022-07-06,47.45754752,51.22207162472817
10,2022-07-06,49.96751289,52.488041356569866
11,2022-07-06,51.15011768,52.80696030120953
12,2022-07-06,39.71977991,45.427357153297194
13,2022-07-06,39.94216274,45.74544195699385
14,2022-07-06,44.99006643,47.09155459890596
15,2022-07-06,45.6389018,48.12019840340949
108,2022-08-03,53.45224519,48.87187204744959
109,2022-08-03,53.1967557,49.22524081535129
110,2022-08-03,52.30018893,52.1470580145388
111,2022-08-03,52.86403073,51.902602621871026
112,2022-08-03,55.46456159,49.20458461363886
113,2022-08-03,53.11088562,48.056275610659796
114,2022-08-03,55.234959,50.82792406333035
115,2022-08-03,56.24841714,51.08790499512221
116,2022-08-03,56.89049791,49.99110351805324
117,2022-08-03,56.45272487,50.87756875082705
118,2022-08-03,53.14119991,49.19025384779715
119,2022-08-03,52.95361742,49.188283499526015
120,2022-08-03,54.66282246,51.213353837586126
