fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,0.08998895817957375,4.875618648095988,4.26896948861374
2,2022-04-20,210,12,-2.406014104568157,9.693530502338417,8.192810643955664
3,2022-05-05,202,20,-5.027653105142508,9.150087118859211,8.210373162840124
4,2022-05-18,210,12,-38.028861446290875,18.78547105099434,10.621553713978125
5,2022-06-02,206,16,-18.025802248702743,20.1741003714764,17.768329497831054
6,2022-06-22,210,12,-17.8512743777534,14.408841130555693,13.08514747127814
7,2022-07-06,206,16,-5.269962294403242,10.267923447797438,10.036879410603797
8,2022-08-03,204,18,-8.90104866810483,11.454899804073511,9.42961260623672
9,2022-08-24,210,12,-27.855217604830823,21.83795843289599,16.03209413495819
10,2022-11-03,202,20,-0.40807726566658653,5.049015150136566,4.100957061369551
11,2022-11-16,210,12,-6.861399389950441,15.612702421288745,13.490662616018183
12,2022-11-29,210,12,-0.35363015879370874,7.156575307954638,5.571134080409089
13,2022-12-14,210,12,-0.8594300567969073,5.709045266913301,5.322922582926994
14,2023-01-13,206,16,-3.562944097132503,7.032091870417362,5.6417015773378525
15,2023-03-01,210,12,-1.7460833724176021,9.64661998182165,8.784043575215241
GLOBAL_OOF,ALL,222,222,-4.374465447782685,12.124642997371506,9.052675742189045
