fold,date,R2,RMSE,MAE
1,2022-04-06,-0.5016028079372117,2.1017206957805263,1.9891619720010767
2,2022-04-20,-1.003758074436285,2.3373954295755173,2.270773418688911
3,2022-05-05,0.42289721748218556,1.183742345947246,1.0913183731014349
4,2022-05-18,-4.332011496956999,2.949804665508375,2.9048963354032846
5,2022-06-02,-2.233453802750145,2.4097051920032113,2.3847015025373928
6,2022-06-22,-6.770125809282175,3.3484455221474234,2.870225606481004
7,2022-07-06,-0.14086126139556754,1.3404187127587364,1.2562917747610332
8,2022-08-03,-0.6422530367775678,1.4563465077435103,1.175269181448005
9,2022-08-24,-11.667983965575004,4.87409845367671,4.816948668642228
10,2022-11-03,-1.548602554649313,3.1792421602738474,2.974214497514475
11,2022-11-16,0.17444935094786995,2.1728832000114116,1.8502181931136814
12,2022-11-29,0.8440618619489284,0.6362883617016001,0.5500787895336132
13,2022-12-14,-0.37696684005963976,1.6682697252976768,1.645166601600448
14,2023-01-13,-5.504462438170402,6.65865568159641,6.314874902730846
15,2023-03-01,-1.3380054399622319,3.1635303742199206,2.8484883467657203
GLOBAL,,-0.4513502020399731,2.9957687447577244,2.4262350654126976
