heldout_date,fold,model,r2,rmse,mae,n_test
2022-04-06,1,mlp_fs,0.7049132426637422,0.931691910976312,0.7573829389912609,20
2022-04-20,2,mlp_fs,0.18647853133819137,1.4893406969743794,1.2264071223279573,12
2022-05-18,3,mlp_fs,-0.22173213876206654,1.4120033232539415,1.2053801098607384,12
2022-06-02,4,mlp_fs,0.20583600752927034,1.1942236822262795,1.0846366310556554,16
2022-06-22,5,mlp_fs,0.2900063739395543,1.01217693623759,0.9075225883334964,12
2022-07-06,6,mlp_fs,0.8751147176643539,0.4434857761171846,0.35225506790967975,16
2022-08-03,7,mlp_fs,-0.36093635464891727,1.325755964555228,1.2111684496710895,18
2022-08-24,8,mlp_fs,0.8435493674021413,0.5416630448116028,0.41207727930658394,12
2022-11-03,9,mlp_fs,-0.2683833840962757,2.2428375784541825,1.7681993749718763,20
2022-11-29,10,mlp_fs,0.28607470298325877,1.3614578267877402,1.2196955205218596,12
2022-12-14,11,mlp_fs,0.3172505475355806,1.174722285980296,0.9290729278521711,12
2023-01-13,12,mlp_fs,-2.3809136142358627,4.80062619136278,4.407154956113953,16
2023-03-01,13,mlp_fs,-0.39199990625571424,2.44100603413223,1.8487075564253894,12
