Date,y_true,y_pred,fold
2022-04-06,9.586971282958984,10.278428077697754,1
2022-04-06,9.670904159545898,10.356463432312012,1
2022-04-06,6.639711380004883,8.626872062683105,1
2022-04-06,6.117697238922119,8.413236618041992,1
2022-04-06,7.962381839752197,8.871525764465332,1
2022-04-06,8.135262489318848,8.661606788635254,1
2022-04-06,8.608928680419922,9.776857376098633,1
2022-04-06,8.451011657714844,9.690726280212402,1
2022-04-06,7.9725213050842285,8.77375316619873,1
2022-04-06,7.8918137550354,8.314692497253418,1
2022-04-06,7.804520606994629,12.089640617370605,1
2022-04-06,7.785067558288574,12.170116424560547,1
2022-04-06,8.597779273986816,7.762935638427734,1
2022-04-06,8.767579078674316,8.13452434539795,1
2022-04-06,4.857827186584473,4.615565299987793,1
2022-04-06,4.788580894470215,5.903474807739258,1
2022-04-06,7.800289154052734,7.815748691558838,1
2022-04-06,7.880248546600342,8.647435188293457,1
2022-04-06,3.8823401927948,2.7658989429473877,1
2022-04-06,3.7852816581726074,2.5024893283843994,1
2022-04-20,5.7860002517700195,6.889651775360107,2
2022-04-20,5.78311014175415,6.217566013336182,2
2022-04-20,7.12457799911499,6.26757287979126,2
2022-04-20,7.223354816436768,6.7083868980407715,2
2022-04-20,6.6804327964782715,6.640352725982666,2
2022-04-20,6.512036323547363,6.1602654457092285,2
2022-04-20,7.538986682891846,5.817940711975098,2
2022-04-20,7.271757125854492,6.007455348968506,2
2022-04-20,3.0821425914764404,3.0317559242248535,2
2022-04-20,3.1638855934143066,3.017430067062378,2
2022-04-20,3.6582486629486084,3.2058656215667725,2
2022-04-20,3.8362739086151123,3.2144246101379395,2
2022-05-05,7.383236885070801,6.990551948547363,3
2022-05-05,7.474862575531006,6.930515289306641,3
2022-05-05,6.85304069519043,5.935215950012207,3
2022-05-05,6.511340618133545,6.014815330505371,3
2022-05-05,6.2657999992370605,6.008965492248535,3
2022-05-05,6.268929481506348,5.668697834014893,3
2022-05-05,6.080742835998535,5.712277889251709,3
2022-05-05,6.0746684074401855,5.9204254150390625,3
2022-05-05,5.806473255157471,5.775661945343018,3
2022-05-05,5.715641021728516,5.824937343597412,3
2022-05-05,7.385197639465332,5.27161979675293,3
2022-05-05,7.385197639465332,5.793224811553955,3
2022-05-05,5.899621486663818,6.358236312866211,3
2022-05-05,5.887857437133789,6.519306182861328,3
2022-05-05,6.353050708770752,6.324007034301758,3
2022-05-05,6.353050708770752,6.147068977355957,3
2022-05-05,3.040877103805542,2.5290284156799316,3
2022-05-05,3.0469467639923096,2.7362594604492188,3
2022-05-05,2.534837245941162,2.3927016258239746,3
2022-05-05,2.705597162246704,2.5118727684020996,3
2022-05-18,4.871027946472168,6.850541591644287,4
2022-05-18,4.861324787139893,6.1131815910339355,4
2022-05-18,5.7186760902404785,4.771372318267822,4
2022-05-18,5.7186760902404785,5.541131496429443,4
2022-05-18,5.0540080070495605,5.616170883178711,4
2022-05-18,5.13346529006958,6.77048921585083,4
2022-05-18,5.561901092529297,5.041501522064209,4
2022-05-18,5.542502403259277,5.836963176727295,4
2022-05-18,2.685987949371338,3.3077495098114014,4
2022-05-18,2.6886684894561768,2.6656291484832764,4
2022-05-18,2.5932939052581787,2.3564703464508057,4
2022-05-18,2.6891112327575684,2.2262485027313232,4
2022-06-02,4.971290111541748,5.25342321395874,5
2022-06-02,5.153428554534912,5.556814670562744,5
2022-06-02,4.722079753875732,5.205124855041504,5
2022-06-02,4.99437141418457,4.879015922546387,5
2022-06-02,5.325788974761963,4.424862861633301,5
2022-06-02,5.3098673820495605,4.6983561515808105,5
2022-06-02,5.425175189971924,5.238809585571289,5
2022-06-02,5.594600200653076,5.146743297576904,5
2022-06-02,5.936260223388672,8.407187461853027,5
2022-06-02,6.014558792114258,8.637383460998535,5
2022-06-02,5.766645431518555,8.114280700683594,5
2022-06-02,5.845263957977295,8.076939582824707,5
2022-06-02,2.7059454917907715,3.0094540119171143,5
2022-06-02,2.708648681640625,3.024569272994995,5
2022-06-02,2.183589458465576,1.627690315246582,5
2022-06-02,2.189040184020996,1.5997974872589111,5
2022-06-22,4.708278656005859,5.170984745025635,6
2022-06-22,4.795468807220459,4.781189918518066,6
2022-06-22,5.360591411590576,5.277718544006348,6
2022-06-22,5.3498969078063965,5.191163063049316,6
2022-06-22,4.715676307678223,5.5138349533081055,6
2022-06-22,4.623732089996338,5.093903541564941,6
2022-06-22,5.088014602661133,3.9621918201446533,6
2022-06-22,4.905219078063965,3.9608306884765625,6
2022-06-22,2.3548688888549805,3.214421510696411,6
2022-06-22,2.268784284591675,3.1303153038024902,6
2022-06-22,2.5320491790771484,3.1345713138580322,6
2022-06-22,2.6245973110198975,3.3271381855010986,6
2022-07-06,4.6323628425598145,2.3121862411499023,7
2022-07-06,4.811975955963135,3.9060935974121094,7
2022-07-06,4.644871234893799,2.4655795097351074,7
2022-07-06,4.647188663482666,2.9515891075134277,7
2022-07-06,5.006476402282715,2.5329177379608154,7
2022-07-06,4.908830642700195,4.189805507659912,7
2022-07-06,5.87359094619751,3.821463108062744,7
2022-07-06,5.785925388336182,2.8430914878845215,7
2022-07-06,4.811648368835449,2.955385208129883,7
2022-07-06,4.724164009094238,2.420281410217285,7
2022-07-06,5.569296836853027,2.7323710918426514,7
2022-07-06,5.4959821701049805,3.2705793380737305,7
2022-07-06,2.18424391746521,1.6235713958740234,7
2022-07-06,2.0979220867156982,1.542565107345581,7
2022-07-06,2.5186028480529785,1.8576349020004272,7
2022-07-06,2.5173442363739014,2.0950684547424316,7
