Date,target,pred
2022-07-06,47.99895872,53.92652184495145
2022-07-06,52.44721853,53.92652184495145
2022-07-06,49.69773698,53.92652184495145
2022-07-06,50.62115786,53.92652184495145
2022-07-06,47.12037117,53.92652184495145
2022-07-06,54.54078847,53.92652184495145
2022-07-06,51.82397028,53.92652184495145
2022-07-06,44.13031441,53.92652184495145
2022-07-06,50.04360893,53.92652184495145
2022-07-06,47.45754752,53.92652184495145
2022-07-06,49.96751289,53.92652184495145
2022-07-06,51.15011768,53.92652184495145
2022-07-06,39.71977991,53.92652184495145
2022-07-06,39.94216274,53.92652184495145
2022-07-06,44.99006643,53.92652184495145
2022-07-06,45.6389018,53.92652184495145
2022-05-05,59.16877402,53.34233630569307
2022-05-05,54.298515,53.34233630569307
2022-05-05,58.96565064,53.34233630569307
2022-05-05,59.35026089,53.34233630569307
2022-05-05,59.47771711,53.34233630569307
2022-05-05,54.46806161,53.34233630569307
2022-05-05,54.93019367,53.34233630569307
2022-05-05,54.12077782,53.34233630569307
2022-05-05,54.04713363,53.34233630569307
2022-05-05,51.42073296,53.34233630569307
2022-05-05,56.48945805,53.34233630569307
2022-05-05,53.17267835,53.34233630569307
2022-05-05,58.73142471,53.34233630569307
2022-05-05,60.29755294,53.34233630569307
2022-05-05,58.56210858,53.34233630569307
2022-05-05,55.20215491,53.34233630569307
2022-05-05,52.27533421,53.34233630569307
2022-05-05,50.03009882,53.34233630569307
2022-05-05,47.95161896,53.34233630569307
2022-05-05,48.04153375,53.34233630569307
2022-06-02,52.16173204,53.56384740684466
2022-06-02,51.91894479,53.56384740684466
2022-06-02,52.29991626,53.56384740684466
2022-06-02,51.92080274,53.56384740684466
2022-06-02,56.89019404,53.56384740684466
2022-06-02,52.93481013,53.56384740684466
2022-06-02,57.95038309,53.56384740684466
2022-06-02,58.01814277,53.56384740684466
2022-06-02,56.78438928,53.56384740684466
2022-06-02,54.91068245,53.56384740684466
2022-06-02,56.80856683,53.56384740684466
2022-06-02,56.97572872,53.56384740684466
2022-06-02,47.06351554,53.56384740684466
2022-06-02,47.145599,53.56384740684466
2022-06-02,44.46956036,53.56384740684466
2022-06-02,43.74818053,53.56384740684466
2022-05-18,55.91948154,53.57665176295239
2022-05-18,53.31943777,53.57665176295239
2022-05-18,50.14325176,53.57665176295239
2022-05-18,54.00406447,53.57665176295239
2022-05-18,54.0007637,53.57665176295239
2022-05-18,56.2033803,53.57665176295239
2022-05-18,51.09290674,53.57665176295239
2022-05-18,54.50627285,53.57665176295239
2022-05-18,51.26057131,53.57665176295239
2022-05-18,50.96179154,53.57665176295239
2022-05-18,46.73774633,53.57665176295239
2022-05-18,46.90717585,53.57665176295239
2022-06-22,49.44313569,53.67566337485714
2022-06-22,47.8413243,53.67566337485714
2022-06-22,51.22156003,53.67566337485714
2022-06-22,51.47087982,53.67566337485714
2022-06-22,56.64865127,53.67566337485714
2022-06-22,54.67441186,53.67566337485714
2022-06-22,47.81167332,53.67566337485714
2022-06-22,47.90197734,53.67566337485714
2022-06-22,53.90830402,53.67566337485714
2022-06-22,50.53189181,53.67566337485714
2022-06-22,44.35558404,53.67566337485714
2022-06-22,48.45501216,53.67566337485714
2022-04-20,58.7107711,53.481631253285705
2022-04-20,61.04519871,53.481631253285705
2022-04-20,60.18924475,53.481631253285705
2022-04-20,59.31672753,53.481631253285705
2022-04-20,52.63143048,53.481631253285705
2022-04-20,52.44791886,53.481631253285705
2022-04-20,54.6374969,53.481631253285705
2022-04-20,55.23320331,53.481631253285705
2022-04-20,44.98223209,53.481631253285705
2022-04-20,45.53597896,53.481631253285705
2022-04-20,48.65100318,53.481631253285705
2022-04-20,51.62994532,53.481631253285705
2022-04-06,55.8207313,53.40040880039604
2022-04-06,54.38994674,53.40040880039604
2022-04-06,54.53465595,53.40040880039604
2022-04-06,53.78200751,53.40040880039604
2022-04-06,60.28727268,53.40040880039604
2022-04-06,60.67244732,53.40040880039604
2022-04-06,58.81055681,53.40040880039604
2022-04-06,57.32815206,53.40040880039604
2022-04-06,56.37384648,53.40040880039604
2022-04-06,57.11351203,53.40040880039604
2022-04-06,59.92512136,53.40040880039604
2022-04-06,60.01880931,53.40040880039604
2022-04-06,53.65869286,53.40040880039604
2022-04-06,53.8609648,53.40040880039604
2022-04-06,48.65361454,53.40040880039604
2022-04-06,50.59093738,53.40040880039604
2022-04-06,53.16082172,53.40040880039604
2022-04-06,55.70141032,53.40040880039604
2022-04-06,42.25234896,53.40040880039604
2022-04-06,42.33528657,53.40040880039604
2022-08-03,53.45224519,53.578318564656854
2022-08-03,53.1967557,53.578318564656854
2022-08-03,52.30018893,53.578318564656854
2022-08-03,52.86403073,53.578318564656854
2022-08-03,55.46456159,53.578318564656854
2022-08-03,53.11088562,53.578318564656854
2022-08-03,55.234959,53.578318564656854
2022-08-03,56.24841714,53.578318564656854
2022-08-03,56.89049791,53.578318564656854
2022-08-03,56.45272487,53.578318564656854
2022-08-03,53.14119991,53.578318564656854
2022-08-03,52.95361742,53.578318564656854
2022-08-03,54.66282246,53.578318564656854
2022-08-03,54.62946915,53.578318564656854
2022-08-03,45.51545678,53.578318564656854
2022-08-03,45.08127736,53.578318564656854
2022-08-03,45.54053307,53.578318564656854
2022-08-03,49.43708436,53.578318564656854
2022-08-24,53.62957861,53.793602479666674
2022-08-24,52.82765349,53.793602479666674
2022-08-24,52.11225514,53.793602479666674
2022-08-24,51.21145046,53.793602479666674
2022-08-24,52.6861468,53.793602479666674
2022-08-24,51.00433329,53.793602479666674
2022-08-24,45.97762787,53.793602479666674
