fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.1615058624736001,1.5705344969775268,1.335058110512787,20
2,2022-04-20,0.7642113390615395,0.8018091460373344,0.7159717914220683,12
3,2022-05-05,0.8289727511050133,0.6444114592391904,0.48728801249437864,20
4,2022-05-18,0.4121069160163917,0.9794829829226195,0.7542009266569621,12
5,2022-06-02,0.6409723013521997,0.8029612011736321,0.6022526908406982,16
6,2022-06-22,0.7256276548559014,0.6292154527992061,0.5199458984078268,12
7,2022-07-06,0.6433118512395006,0.7494944222963795,0.5428909406937638,16
8,2022-08-03,0.2236042586180531,1.0013508117081114,0.8971752813383179,18
9,2022-08-24,0.7231964940391988,0.720487313696668,0.5291534020994669,12
10,2022-11-03,0.5576768134625179,1.3244708510959153,0.9253515235262817,20
11,2022-11-16,0.78890416874562,1.0987638159516344,0.9178119484318744,12
12,2022-11-29,0.9357108438941935,0.4085513689238159,0.36010855203101605,12
13,2022-12-14,0.7952929740150655,0.6432368287081043,0.5283487601170859,12
14,2023-01-13,-1.1391339299089296,3.8185619549272753,3.466356471360657,16
15,2023-03-01,-0.195064286213666,2.2617514840657726,2.1190662148242594,12
