heldout_date,fold,model,r2,rmse,mae,n_test
2022-04-06,1,mlp_fs,-1.7979488841080804,2.8689128316808534,2.529664845242513,20
2022-04-20,2,mlp_fs,0.37458562775090276,1.3058505503706475,1.0617766283610384,12
2022-05-18,3,mlp_fs,0.36508379487555265,1.0179019011535249,0.8472340204800067,12
2022-06-02,4,mlp_fs,0.2172598224413489,1.1856032916841543,0.8153940255431499,16
2022-06-22,5,mlp_fs,0.811491194430459,0.5215488990934133,0.48950723594549334,12
2022-07-06,6,mlp_fs,0.5810694113358765,0.8122600645201944,0.5978582256732232,16
2022-08-03,7,mlp_fs,-1.1006392596190668,1.6471017206323884,1.4436142454312355,18
2022-08-24,8,mlp_fs,0.5513343865303677,0.9172800281635274,0.8480094736093781,12
2022-11-03,9,mlp_fs,0.28170597506779926,1.687810478813465,0.9986903896019683,20
2022-11-29,10,mlp_fs,0.7921281592053383,0.7346418051943409,0.6014369409833525,12
2022-12-14,11,mlp_fs,0.7169299187515423,0.7563999865782836,0.524176799124043,12
2023-01-13,12,mlp_fs,-3.7213659620271766,5.6730248438610245,5.358551620775336,16
2023-03-01,13,mlp_fs,-0.3077768708603208,2.3660072773252345,1.932295631787999,12
