fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,-0.2735572794257908,1.935560301816906,1.5609540813853833
2,2022-04-20,210,12,0.531643274600341,1.1300506989474397,0.9379846314619895
3,2022-05-05,202,20,0.7092001406169073,0.8402870990010493,0.6640668916533459
4,2022-05-18,210,12,0.7296072982353942,0.6642708613026586,0.5716910621641894
5,2022-06-02,206,16,0.5368704799446429,0.9119726523166165,0.7077306106360326
6,2022-06-22,210,12,-1.373415419765435,1.850615059654856,1.4638932269714822
7,2022-07-06,206,16,-65.12458221627368,10.204824397186151,8.88774922268358
8,2022-08-03,204,18,-3.0405247094571655,2.2843548374601013,1.5746635969697573
9,2022-08-24,210,12,-37.79660105309103,8.529771248360293,6.694692373682375
10,2022-11-03,202,20,-0.2988455164961419,2.2696103420231157,1.481262931327522
11,2022-11-16,210,12,-1.403232292877369,3.7073398214876687,2.9557408590479173
12,2022-11-29,210,12,-0.43596829070008347,1.9308575400820707,1.8628017791358316
13,2022-12-14,210,12,-12.923811987268092,5.30497819155032,4.898877535105711
14,2023-01-13,206,16,-2.2936740572075376,4.738284818674187,4.330979726631576
15,2023-03-01,210,12,-0.40036036933218555,2.448325499267205,2.1269763895592244
