heldout_date,fold,model,r2,rmse,mae,n_test
2022-04-06,1,mlp_fs,-1.4388909780842747,7.9818321737064535,7.534806663712629,20
2022-04-20,2,mlp_fs,0.5177398395575966,3.6475348779216517,3.1705583965919106,12
2022-05-05,3,mlp_fs,-2.2990225993840707,6.7692998075083315,5.420729199424398,20
2022-05-18,4,mlp_fs,-1.625595827309183,4.872401691103077,4.577066775664531,12
2022-06-02,5,mlp_fs,-19.52865629205447,20.95573750341006,18.237339290034424,16
2022-06-22,6,mlp_fs,-1.4667619240028955,5.212214904092651,4.963748966994794,12
2022-07-06,7,mlp_fs,-3.269665634314828,8.47319283970023,7.794403226759491,16
2022-08-03,8,mlp_fs,0.013165258020582549,3.616370454673214,2.8215181570432093,18
2022-08-24,9,mlp_fs,-8.173994346561802,12.31343131453234,10.825461743887823,12
2022-11-03,10,mlp_fs,-0.7834706526111532,5.68232951000882,4.755534204688938,20
2022-11-16,11,mlp_fs,0.36224757632331384,4.4468677186322765,4.041025957217469,12
2022-11-29,12,mlp_fs,0.674431120341872,3.5097539968029756,3.121885011678312,12
2022-12-14,13,mlp_fs,-3.40988369450867,8.791988896059026,7.788875093640944,12
2023-01-13,14,mlp_fs,-27.92420173559329,17.704866355614268,16.0793265855424,16
2023-03-01,15,mlp_fs,-0.6245211920092986,7.419608697074854,6.200610083336332,12
