fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,-0.025918632087962745,1.7372164117248658,1.4608576845314474
2,2022-04-20,178,12,0.8831816310182388,0.5643715553733404,0.5257745580066445
3,2022-05-18,178,12,0.7328000936308077,0.6603373619704058,0.5428038487129686
4,2022-06-02,174,16,-0.09520768299726456,1.4024223489951393,1.0405738935984632
5,2022-06-22,178,12,0.5278843726060221,0.8253789720115274,0.6056646727314355
6,2022-07-06,174,16,0.7403461790548,0.6394718395930421,0.4515681719877123
7,2022-08-03,172,18,0.7040379690020606,0.6182479448693453,0.5142926527785026
8,2022-08-24,178,12,0.8005303551426838,0.6116161605586978,0.4983091212778962
9,2022-11-03,170,20,0.4163901267262142,1.5213665638698735,1.1272057306425078
10,2022-11-29,178,12,0.9041732381489682,0.4987939922258527,0.3766611222737355
11,2022-12-14,178,12,0.9169677186754996,0.4096641996984024,0.28430726049745253
12,2023-01-13,174,16,-2.4874825179752333,4.875698843082007,4.642144635971013
13,2023-03-01,178,12,-0.6552710315057559,2.6618514019474673,2.266328376826069
GLOBAL_OOF,,190,0,0.485530962187564,1.8405428601609612,1.1598174252753768
