heldout_date,r2,rmse,mae
2022-04-06,0.6082867069930962,2.6630393603991824,2.1637909596767573
2022-04-20,0.37546134794138974,2.9453083227025227,2.6156291340107423
2022-05-05,0.482994855817482,3.6749702749382767,2.880696825157227
2022-05-18,0.16711467303641703,3.3223340919299535,2.8308946763134766
2022-06-02,0.08409004759740502,3.1505643246209845,2.3561106232250975
2022-06-22,-0.7099824256900644,5.3622367043256025,4.373953095115968
2022-07-06,0.5654925810808598,3.0487462987008067,2.7034459305639644
2022-08-03,-0.21037366927153323,6.404394040775925,4.958899324795736
2022-08-24,0.7358425769054542,2.1518152089670464,1.566322976236166
2022-11-03,0.48435439003700775,4.417035574805104,3.1948836980045563
2022-11-16,0.6918357210197826,3.09114444609521,2.5439026435872396
2022-11-29,-0.322042772055247,4.6743648890891105,4.015018271282553
2022-12-14,-0.4153637398324106,3.9481416729224867,3.134319717491863
2023-01-13,-0.43193960986554236,3.5982513730392687,3.178210765550944
2023-03-01,0.4995904307400928,3.7155367669775914,3.235509492269694
__mean__,0.17369074096361267,3.744525556685938,3.050105875552133
