heldout_date,r2,rmse,mae
2022-04-06,0.23334695962083063,4.475131790818334,3.453825325897184
2022-04-20,0.4139719380389103,2.8530560923807022,2.458084768673467
2022-05-05,0.5439498828255049,2.8734240101755657,2.1906368387594095
2022-05-18,0.7355599927377632,2.5839112909571993,2.232815373920081
2022-06-02,-0.44205487291832557,4.3716118080118,4.122874695370147
2022-06-22,0.5072298685276172,2.9516716488336243,2.096079990154381
2022-07-06,0.11851107233525915,5.171947211133542,4.3089482748218
2022-07-21,0.10311900026469922,3.117664470713101,2.614690137837806
2022-08-03,0.36501709293271856,3.6855618636222025,2.5010001771283306
2022-08-24,-0.18302502801937193,4.460125959457266,3.5138681471064084
2022-09-08,0.5831872570938574,2.298672114887348,1.869417532571726
2022-10-13,0.002033929903563658,4.061231500467373,3.301960548667365
2022-11-03,0.8288059766248881,2.303946823871626,2.0592563221567146
2022-11-16,0.10725438318300873,3.1547121853544327,2.6185659080393013
2022-11-29,0.42216343201795303,4.675819587689874,3.1359637280193877
2022-12-08,-0.5991072118294314,4.1965991332601025,3.483742019400587
2022-12-14,0.6197096114032016,2.5818513712777134,2.305412309385076
2023-01-13,-0.49325700070709844,3.6744845719183585,3.2651624782194606
2023-01-26,-0.28829780801832405,5.672876029038299,4.711934478309187
2023-02-09,0.43439691213851117,3.950159628295233,3.6345438766850084
2023-03-01,-0.2512298233694008,6.511587109102452,4.9275722153068005
__mean__,0.1791088364183969,3.7917164857745784,3.086016911734744
