base,target,model,ΔR2(clim-noclim),ΔRMSE(noclim-clim),ΔMAE(noclim-clim)
D5,CP,mlp,0.1291626112361084,0.26946176170530367,0.16167256134736796
D5,TDN_based_ADF,xgbnative,-0.040550131625508024,-0.1274979601368713,-0.11139222852631558
D7,CP,mlp,-0.041245636810472996,-0.0774459776189853,0.0025975900270271968
D7,TDN_based_ADF,xgbnative,-0.044185060208526306,-0.15607924497996706,0.02335843549549521
RAW,CP,mlp,0.024992155289254914,0.051849283426752546,0.05929727741666646
RAW,TDN_based_ADF,xgbnative,-0.006515242154246315,-0.023849053447077218,0.13054869384615397
