base,target,model,source,cv,r2,rmse,mae,file,variant
RAW,TDN_based_ADF,mlp,noclim,lodo,-22.66912715413579,17.06850772631298,15.333801223013054,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_noclim_lodo.csv,full
RAW,TDN_based_ADF,xgbnative,noclim,lodo,0.3444519564420901,3.4475272562210453,2.830975761222126,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_noclim_lodo.csv,full
D5,CP,hgb,clim,lodo,0.05808144579590325,1.5293876723284947,1.3223484563286871,/workspace/reports/exp02/exp02_D5_CP_hgb_clim_lodo_fs15.csv,fs15
D5,CP,hgb,noclim,lodo,-0.5512553906781699,1.853414852322288,1.6163113066180306,/workspace/reports/exp02/exp02_D5_CP_hgb_noclim_lodo_fs15.csv,fs15
D5,CP,mlp,clim,lodo,0.34643242,1.2956936,1.1112508,/workspace/reports/exp02/exp02_D5_CP_mlp_clim_lodo_fs15.csv,fs15
D5,CP,mlp,noclim,lodo,0.21455821,1.4020964,1.1538572,/workspace/reports/exp02/exp02_D5_CP_mlp_noclim_lodo_fs15.csv,fs15
D5,CP,xgbnative,clim,lodo,0.3041884805308952,1.2728246718424066,1.0723480644157541,/workspace/reports/exp02/exp02_D5_CP_xgbnative_clim_lodo_fs15.csv,fs15
D5,CP,xgbnative,noclim,lodo,-0.0467694249238271,1.5372740415966226,1.3100209578923747,/workspace/reports/exp02/exp02_D5_CP_xgbnative_noclim_lodo_fs15.csv,fs15
D5,TDN_based_ADF,hgb,clim,lodo,-0.17756971590027776,4.419278886479538,3.505501691833927,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_clim_lodo_fs15.csv,fs15
D5,TDN_based_ADF,hgb,noclim,lodo,-0.12468311907836996,4.2756581635595925,3.4686490733235242,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_noclim_lodo_fs15.csv,fs15
D5,TDN_based_ADF,mlp,clim,lodo,-4.3089294,8.549432,7.5429664,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_clim_lodo_fs15.csv,fs15
D5,TDN_based_ADF,mlp,noclim,lodo,-7.348905,10.858911,9.178145,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_noclim_lodo_fs15.csv,fs15
D5,TDN_based_ADF,xgbnative,clim,lodo,0.17897983318290814,3.783314561811937,3.025372855420028,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_clim_lodo_fs15.csv,fs15
D5,TDN_based_ADF,xgbnative,noclim,lodo,0.17312447499800068,3.820856161560949,3.1384081737547005,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_noclim_lodo_fs15.csv,fs15
D7,CP,hgb,clim,lodo,0.08784832586681497,1.4721970604127619,1.265938795915562,/workspace/reports/exp02/exp02_D7_CP_hgb_clim_lodo_fs15.csv,fs15
D7,CP,hgb,noclim,lodo,-0.1338489916956595,1.6183868283028846,1.3928725046650745,/workspace/reports/exp02/exp02_D7_CP_hgb_noclim_lodo_fs15.csv,fs15
D7,CP,mlp,clim,lodo,0.38509595,1.2656873,1.0494637,/workspace/reports/exp02/exp02_D7_CP_mlp_clim_lodo_fs15.csv,fs15
D7,CP,mlp,noclim,lodo,0.3239049,1.3171862,1.0803882,/workspace/reports/exp02/exp02_D7_CP_mlp_noclim_lodo_fs15.csv,fs15
D7,CP,xgbnative,clim,lodo,0.3125341011042917,1.2687304482880535,1.0419628577324511,/workspace/reports/exp02/exp02_D7_CP_xgbnative_clim_lodo_fs15.csv,fs15
D7,CP,xgbnative,noclim,lodo,0.10089211470944999,1.4504090855641558,1.2246981613783123,/workspace/reports/exp02/exp02_D7_CP_xgbnative_noclim_lodo_fs15.csv,fs15
D7,TDN_based_ADF,hgb,clim,lodo,0.07547116659808943,3.8660825600535906,3.092598566736423,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_clim_lodo_fs15.csv,fs15
D7,TDN_based_ADF,hgb,noclim,lodo,0.1054777162334155,3.9002578535705363,3.1937021150611913,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_noclim_lodo_fs15.csv,fs15
