base,variant,target,model,r2,rmse,mae,file
D7,noclim,CP,ridge,-2.626769034704595,2.575772543397716,2.2414308464094286,/workspace/reports/exp01_UFMS_D7_noclim_CP_ridge.csv
D7,noclim,CP,xgb,-0.2702961112041686,1.7931748909304155,1.501464460406875,/workspace/reports/exp01_UFMS_D7_noclim_CP_xgb.csv
D7,noclim,TDN_based_ADF,gb,0.08301435319287015,3.9629960167607923,3.268233006999519,/workspace/reports/exp01_UFMS_D7_noclim_TDN_based_ADF_gb.csv
D7,noclim,TDN_based_ADF,linear,-3.638484290608339,7.068555433043318,5.620376258594797,/workspace/reports/exp01_UFMS_D7_noclim_TDN_based_ADF_linear.csv
D7,noclim,TDN_based_ADF,mlp,-20.779854698233542,14.048432267139553,12.337318492812539,/workspace/reports/exp01_UFMS_D7_noclim_TDN_based_ADF_mlp.csv
D7,noclim,TDN_based_ADF,naive,-0.45017752271338624,5.206238798949116,4.318862277110802,/workspace/reports/exp01_UFMS_D7_noclim_TDN_based_ADF_naive.csv
D7,noclim,TDN_based_ADF,ridge,-2.1032785917093477,6.114762421259827,5.098973430655675,/workspace/reports/exp01_UFMS_D7_noclim_TDN_based_ADF_ridge.csv
D7,noclim,TDN_based_ADF,xgb,0.17369074096361264,3.744525556685938,3.050105875552133,/workspace/reports/exp01_UFMS_D7_noclim_TDN_based_ADF_xgb.csv
RAW,clim,CP,gb,-0.44823837464742344,2.0536922364070946,1.7744699814547338,/workspace/reports/exp01_UFMS_RAW_clim_CP_gb.csv
RAW,clim,CP,linear,-11.193926122142441,3.7619749762565955,3.3821492958302133,/workspace/reports/exp01_UFMS_RAW_clim_CP_linear.csv
RAW,clim,CP,mlp,-0.4084102477647622,1.9404435460978262,1.6831177129637191,/workspace/reports/exp01_UFMS_RAW_clim_CP_mlp.csv
RAW,clim,CP,naive,-2.3136413180022397,2.80683499255321,2.375702540505631,/workspace/reports/exp01_UFMS_RAW_clim_CP_naive.csv
RAW,clim,CP,ridge,-8.84690137072049,3.2720465964925904,2.9460919638393803,/workspace/reports/exp01_UFMS_RAW_clim_CP_ridge.csv
RAW,clim,CP,xgb,-0.26388853536803464,1.963266599111626,1.6826903757117238,/workspace/reports/exp01_UFMS_RAW_clim_CP_xgb.csv
