base,target,model,clim,r2,rmse,mae,file
D7,TDN_based_ADF,ridge,1,-12.217112771978,8.133295768954161,7.314446429466827,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_ridge_clim.csv
D7,TDN_based_ADF,xgb,0,0.0712621157968271,3.7770001733612646,3.0653823739617523,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_xgb.csv
D7,TDN_based_ADF,xgb,1,0.0355830384928741,3.9802353507281754,3.174220394197477,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_xgb_clim.csv
RAW,CP,gb,0,-0.8637415452770115,2.2221995824075984,1.885553637198352,/workspace/reports/exp01_hlsIDX_RAW_CP_gb.csv
RAW,CP,gb,1,-0.7347337854819698,2.1739674196704857,1.840040301125232,/workspace/reports/exp01_hlsIDX_RAW_CP_gb_clim.csv
RAW,CP,linear,0,-1.977700801195976,2.8697645731373607,2.3890219005233813,/workspace/reports/exp01_hlsIDX_RAW_CP_linear.csv
RAW,CP,linear,1,-7.675329831253508,3.255744470990055,2.853269460509741,/workspace/reports/exp01_hlsIDX_RAW_CP_linear_clim.csv
RAW,CP,mlp,0,-1.0022110590476005,2.2110145612023624,1.9250945334099747,/workspace/reports/exp01_hlsIDX_RAW_CP_mlp.csv
RAW,CP,mlp,1,-1.7596783589874532,2.3140455488500216,2.0197312607551354,/workspace/reports/exp01_hlsIDX_RAW_CP_mlp_clim.csv
RAW,CP,naive,0,-2.31364131800224,2.8068349925532097,2.375702540505631,/workspace/reports/exp01_hlsIDX_RAW_CP_naive.csv
RAW,CP,ridge,0,-1.9495239680003296,2.781160901489985,2.3038888892795324,/workspace/reports/exp01_hlsIDX_RAW_CP_ridge.csv
RAW,CP,ridge,1,-6.34771648046793,2.986593558530897,2.609730710733018,/workspace/reports/exp01_hlsIDX_RAW_CP_ridge_clim.csv
RAW,CP,xgb,0,-1.0107005071241926,2.2504426300127087,1.9109157971768744,/workspace/reports/exp01_hlsIDX_RAW_CP_xgb.csv
RAW,CP,xgb,1,-0.4432857009138506,2.0612412407932226,1.7303576039949615,/workspace/reports/exp01_hlsIDX_RAW_CP_xgb_clim.csv
RAW,TDN_based_ADF,gb,0,0.0531921541565157,4.064929404561261,3.2976103775981094,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_gb.csv
RAW,TDN_based_ADF,gb,1,0.133572852349193,3.896827148045431,3.1522709404065266,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_gb_clim.csv
RAW,TDN_based_ADF,linear,0,-1.5547563582415924,5.754925160241219,4.715433235538058,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_linear.csv
RAW,TDN_based_ADF,linear,1,-6.421587704823077,6.957441765311969,5.937722953479855,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_linear_clim.csv
RAW,TDN_based_ADF,mlp,0,-4.9837913511290255,7.5520704367270355,6.695210551572648,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_mlp.csv
RAW,TDN_based_ADF,mlp,1,-2.651050886285011,7.527879331044168,6.711506147815835,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_mlp_clim.csv
RAW,TDN_based_ADF,naive,0,-0.5324151129015978,5.328042627757626,4.470812272399629,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_naive.csv
RAW,TDN_based_ADF,ridge,0,-0.8261624575794525,5.509476374887879,4.579815191570713,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_ridge.csv
RAW,TDN_based_ADF,ridge,1,-5.889045243255539,6.533027255146953,5.636513079992606,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_ridge_clim.csv
RAW,TDN_based_ADF,xgb,0,0.0785269181556392,3.9843485599257553,3.28564113228118,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_xgb.csv
RAW,TDN_based_ADF,xgb,1,0.0917165003721191,3.9578602814655657,3.24015777405213,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_xgb_clim.csv
