base,source,target,model,r2,rmse,mae,file,r2_oof,rmse_oof,mae_oof,r2_final,rmse_final,mae_final,Δr2(FINAL-OOF),Δrmse(FINAL-OOF),Δmae(FINAL-OOF)
D5,clim,CP,mlp,0.34643242,1.2956936,1.1112508,/workspace/reports/exp03/exp03_D5_CP_mlp_clim_lodo_FINAL.csv,0.6835980061932703,1.4433974029089878,1.0914083018789476,0.34643242,1.2956936,1.1112508,-0.33716558619327025,-0.14770380290898788,0.019842498121052543
D5,clim,TDN_based_ADF,xgbnative,0.235292308044403,3.7067429605464186,3.0258371634075343,/workspace/reports/exp03/exp03_D5_TDN_based_ADF_xgbnative_clim_lodo_FINAL.csv,0.2982471726910106,4.3482131496257885,3.468731114052632,0.235292308044403,3.7067429605464186,3.0258371634075343,-0.0629548646466076,-0.6414701890793699,-0.4428939506450975
D5,noclim,CP,mlp,0.21455821,1.4020964,1.1538572,/workspace/reports/exp03/exp03_D5_CP_mlp_noclim_lodo_FINAL.csv,0.5544353949571619,1.7128591646142914,1.2530808632263155,0.21455821,1.4020964,1.1538572,-0.3398771849571619,-0.3107627646142914,-0.09922366322631548
D5,noclim,TDN_based_ADF,xgbnative,0.2464019337351721,3.5839108210817234,2.935216638361731,/workspace/reports/exp03/exp03_D5_TDN_based_ADF_xgbnative_noclim_lodo_FINAL.csv,0.3387973043165186,4.220715189488917,3.357338885526316,0.2464019337351721,3.5839108210817234,2.935216638361731,-0.0923953705813465,-0.6368043684071938,-0.42212224716458513
D7,clim,CP,mlp,0.38509595,1.2656873,1.0494637,/workspace/reports/exp03/exp03_D7_CP_mlp_clim_lodo_FINAL.csv,0.5406618939694412,1.685343437256852,1.1606295432522522,0.38509595,1.2656873,1.0494637,-0.15556594396944118,-0.41965613725685214,-0.1111658432522522
D7,clim,TDN_based_ADF,xgbnative,0.3663539469773391,3.29664385941279,2.5935587387405312,/workspace/reports/exp03/exp03_D7_TDN_based_ADF_xgbnative_clim_lodo_FINAL.csv,0.42965619095301,3.949750731673798,2.9988326714414417,0.3663539469773391,3.29664385941279,2.5935587387405312,-0.06330224397567091,-0.653106872261008,-0.4052739327009105
D7,noclim,CP,mlp,0.3239049,1.3171862,1.0803882,/workspace/reports/exp03/exp03_D7_CP_mlp_noclim_lodo_FINAL.csv,0.5819075307799142,1.6078974596378668,1.1632271332792794,0.3239049,1.3171862,1.0803882,-0.2580026307799142,-0.2907112596378667,-0.08283893327927938
D7,noclim,TDN_based_ADF,xgbnative,0.3379017425917904,3.4026971605281564,2.7526902151838133,/workspace/reports/exp03/exp03_D7_TDN_based_ADF_xgbnative_noclim_lodo_FINAL.csv,0.4738412511615363,3.793671486693831,3.022191106936937,0.3379017425917904,3.4026971605281564,2.7526902151838133,-0.1359395085697459,-0.3909743261656744,-0.26950089175312364
RAW,clim,CP,mlp,0.30851442,1.5131696,1.2678133,/workspace/reports/exp03/exp03_RAW_CP_mlp_clim_lodo_FINAL.csv,0.5695673757527051,1.8115291381174323,1.2617988887371796,0.30851442,1.5131696,1.2678133,-0.2610529557527051,-0.29835953811743243,0.006014411262820429
RAW,clim,TDN_based_ADF,xgbnative,0.3879509984510851,3.315436423844256,2.573644712145965,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_xgbnative_clim_lodo_FINAL.csv,0.4642923968991386,3.909955926147082,2.932397920801282,0.3879509984510851,3.315436423844256,2.573644712145965,-0.07634139844805349,-0.594519502302826,-0.3587532086553167
RAW,noclim,CP,mlp,0.2592338,1.5651727,1.265591,/workspace/reports/exp03/exp03_RAW_CP_mlp_noclim_lodo_FINAL.csv,0.5445752204634502,1.8633784215441849,1.321096166153846,0.2592338,1.5651727,1.265591,-0.2853414204634502,-0.2982057215441849,-0.05550516615384615
RAW,noclim,TDN_based_ADF,xgbnative,0.3444519564420901,3.4475272562210453,2.830975761222126,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_xgbnative_noclim_lodo_FINAL.csv,0.4708076390533849,3.886106872700005,3.062946614647436,0.3444519564420901,3.4475272562210453,2.830975761222126,-0.12635568261129482,-0.4385796164789597,-0.23197085342531
