base,target,model,source,cv,r2,rmse,mae,file
D7,TDN_based_ADF,hgb,clim,gkfold,0.31182013501140365,4.196122628276521,3.4057113813290654,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_clim_gkfold.csv
D7,TDN_based_ADF,hgb,clim,lodo,0.00663627611968568,4.105241059469466,3.3808398378777285,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_clim_lodo.csv
D7,TDN_based_ADF,mlp,clim,gkfold,-14.732998102733607,18.894038613069835,15.016747683181674,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_clim_gkfold.csv
D7,TDN_based_ADF,mlp,clim,lodo,-18.900754604957722,15.017380026336657,13.392603659026106,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_clim_lodo.csv
D7,TDN_based_ADF,xgbnative,clim,gkfold,0.44381108668497155,3.739047117336443,2.891769626402369,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_clim_gkfold.csv
D7,TDN_based_ADF,xgbnative,clim,lodo,0.2771784549199705,3.480854717050311,2.8414824414953848,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_clim_lodo.csv
D7,TDN_based_ADF,hgb,noclim,gkfold,0.2874688754242024,4.265013910150387,3.4276506966620657,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_noclim_gkfold.csv
D7,TDN_based_ADF,hgb,noclim,lodo,0.05177105704282215,3.987981165893757,3.272959461576538,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_noclim_lodo.csv
D7,TDN_based_ADF,mlp,noclim,gkfold,-15.515315908204059,20.300094111842515,15.790705062385953,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_noclim_gkfold.csv
D7,TDN_based_ADF,mlp,noclim,lodo,-23.15968840805275,17.47027217938148,14.509369945451851,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_noclim_lodo.csv
D7,TDN_based_ADF,xgbnative,noclim,gkfold,0.3816127642606764,3.9697164091896653,3.101117105007403,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_noclim_gkfold.csv
D7,TDN_based_ADF,xgbnative,noclim,lodo,0.29951920516805014,3.5089986006918634,2.8808439490660525,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_noclim_lodo.csv
RAW,CP,hgb,clim,gkfold,0.19371821683348775,2.1037772692863945,1.5978501582718274,/workspace/reports/exp02/exp02_RAW_CP_hgb_clim_gkfold.csv
RAW,CP,hgb,clim,lodo,-0.06416837471393311,1.8019873594638758,1.5465654460062688,/workspace/reports/exp02/exp02_RAW_CP_hgb_clim_lodo.csv
RAW,CP,mlp,clim,gkfold,-5.752294440664522,3.932929872890303,2.671774077425204,/workspace/reports/exp02/exp02_RAW_CP_mlp_clim_gkfold.csv
RAW,CP,mlp,clim,lodo,-1.6993857382321107,2.170974045698828,1.901270310481974,/workspace/reports/exp02/exp02_RAW_CP_mlp_clim_lodo.csv
RAW,CP,xgbnative,clim,gkfold,0.31938856465915044,1.9024092267090722,1.4513448878574013,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_clim_gkfold.csv
RAW,CP,xgbnative,clim,lodo,0.2210823159742002,1.5421853259792075,1.3094597773727272,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_clim_lodo.csv
RAW,CP,hgb,noclim,gkfold,0.21135592255423347,2.106829555930128,1.6561949926707258,/workspace/reports/exp02/exp02_RAW_CP_hgb_noclim_gkfold.csv
RAW,CP,hgb,noclim,lodo,-0.1272384657688787,1.8324260556322454,1.5410807357849994,/workspace/reports/exp02/exp02_RAW_CP_hgb_noclim_lodo.csv
RAW,CP,mlp,noclim,gkfold,-1.6322981951901618,3.180789532706889,2.418047761787746,/workspace/reports/exp02/exp02_RAW_CP_mlp_noclim_gkfold.csv
RAW,CP,mlp,noclim,lodo,-0.6441309058133595,2.018073825715295,1.7018142598313435,/workspace/reports/exp02/exp02_RAW_CP_mlp_noclim_lodo.csv
RAW,CP,xgbnative,noclim,gkfold,0.2714156977795193,2.01237843010781,1.5403423258578777,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_noclim_gkfold.csv
RAW,CP,xgbnative,noclim,lodo,0.2351345673717454,1.5341044321284119,1.2731842812875311,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_noclim_lodo.csv
RAW,TDN_based_ADF,hgb,clim,gkfold,0.339103713947453,4.0934614537823775,3.222849659932776,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_hgb_clim_gkfold.csv
RAW,TDN_based_ADF,hgb,clim,lodo,0.01774135735440426,4.119794307603398,3.420516229970641,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_hgb_clim_lodo.csv
RAW,TDN_based_ADF,mlp,clim,gkfold,-9.513142863511657,16.71593023855653,13.466945294665653,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_clim_gkfold.csv
RAW,TDN_based_ADF,mlp,clim,lodo,-8.505572369497427,11.681998553372013,10.473945786908818,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_clim_lodo.csv
RAW,TDN_based_ADF,xgbnative,clim,gkfold,0.48970653497661615,3.654658720657145,2.857924729965419,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_clim_gkfold.csv
RAW,TDN_based_ADF,xgbnative,clim,lodo,0.32896767894292284,3.4683987798491493,2.8130972372441176,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_clim_lodo.csv
RAW,TDN_based_ADF,hgb,noclim,gkfold,0.285693316229776,4.318962799407492,3.4451175809104067,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_hgb_noclim_gkfold.csv
RAW,TDN_based_ADF,hgb,noclim,lodo,0.007200150524109567,4.170787387177113,3.4669636528623147,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_hgb_noclim_lodo.csv
RAW,TDN_based_ADF,mlp,noclim,gkfold,-16.146179916774035,20.188267966812752,15.834961330954608,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_noclim_gkfold.csv
RAW,TDN_based_ADF,mlp,noclim,lodo,-22.66912715413579,17.06850772631298,15.333801223013054,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_mlp_noclim_lodo.csv
RAW,TDN_based_ADF,xgbnative,noclim,gkfold,0.49571127060823805,3.6324446713817964,2.8854085703203127,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_noclim_gkfold.csv
RAW,TDN_based_ADF,xgbnative,noclim,lodo,0.34445195644209015,3.4475272562210453,2.830975761222126,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_noclim_lodo.csv
