base,target,model_from_name,with_climate,source,orig_date_col,fold_date,model,r2,rmse,mae,heldout_date,date
D5,CP,linear,0,exp01_D5_CP_linear.csv,fold_date,__mean__,linear,-3.308522734168581,2.7761756556469472,2.375513930781008,__mean__,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-04-06,linear,-0.7187856945757902,2.2485799306385648,1.8008839121515048,2022-04-06,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-04-20,linear,0.5193093642761291,1.144833630397113,1.0650738934873976,2022-04-20,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-05-18,linear,-1.971216743068045,2.2019876883679923,1.92290487351226,2022-05-18,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-06-02,linear,0.611905486389847,0.8348324750551841,0.6716894568161904,2022-06-02,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-06-22,linear,-14.8797425396705,4.786862365893846,4.323032224724496,2022-06-22,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-07-06,linear,0.4044523892499222,0.9684613841928184,0.9309302035073114,2022-07-06,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-08-03,linear,-0.6471422175037522,1.4585127541949725,1.1634340074644232,2022-08-03,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-08-24,linear,-14.923202657030664,5.464567012783784,4.284456248766623,2022-08-24,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-11-03,linear,-0.4652321820028786,2.410603464552634,1.83885446586095,2022-11-03,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-11-29,linear,-4.020626283878153,3.610411926887768,3.1522879299515334,2022-11-29,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2022-12-14,linear,-0.584441907988094,1.7895452655662396,1.469434722028742,2022-12-14,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2023-01-13,linear,-6.279074572495726,7.043993352353295,6.435323260468822,2023-01-13,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,2023-03-01,linear,-0.0569979858938585,2.127092272526109,1.8233759014128528,2023-03-01,
D5,CP,linear,1,exp01_D5_CP_linear_clim.csv,fold_date,__mean__,linear,-3.308522734168581,2.7761756556469472,2.375513930781008,__mean__,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-0.0802462320958821,1.7826202883137598,1.5968010335499996,2022-04-06,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-0.5504368994548821,2.0560638422443747,1.5092047010833334,2022-04-20,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-3.639053292297578,2.7514549117803044,2.436923676333333,2022-05-18,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-2.6599125732977638,2.563692534973658,2.1855677032500003,2022-06-02,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-5.251893422696227,3.003550892899784,2.7528792630833334,2022-06-22,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-3.886671441461279,2.7741544415014223,2.47407567825,2022-07-06,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-6.446686236436698,3.1011745382990394,2.8854459836666666,2022-08-03,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-3.4938586073437365,2.903021463768023,2.559724396583334,2022-08-24,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-0.0049817909610021,1.9964187887350573,1.47430981435,2022-11-03,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-0.3794567212000803,1.892482391366427,1.3436334753333334,2022-11-29,
D5,CP,naive,0,exp01_D5_CP_naive.csv,heldout_date,,naive-last,-1.445812856429522,2.223392515880832,1.7094663990833336,2022-12-14,
